I_A1 / A	B_B1 / mT
0.01	0
0.01	0
0.01	0
0.01	0
0.01	0
0.01	0
0.01	0
0.00	0
0.01	0
0.01	0
0.01	1
0.01	0
0.01	0
0.07	4
0.19	12
0.28	18
0.39	25
0.50	32
0.57	37
0.61	40
0.64	43
0.68	46
0.71	48
0.72	49
0.77	51
0.85	58
0.90	61
0.93	63
0.97	66
1.06	73
1.12	77
1.19	83
1.24	86
1.27	88
1.31	91
1.36	95
1.38	97
1.40	98
1.47	103
1.55	110
1.62	114
1.66	117
1.69	119
1.73	122
1.80	128
1.86	132
1.93	138
2.00	143
2.13	153
2.22	159
2.27	162
2.33	168
2.39	172
2.44	175
2.52	181
2.60	187
2.65	191
2.69	194
2.73	197
2.75	199
2.81	203
2.87	207
2.96	214
3.02	219
3.06	221
3.10	225
3.14	227
3.26	237
3.42	249
3.50	254
3.53	257
3.55	257
3.56	259
3.58	260
3.67	266
3.75	273
3.88	281
3.99	290
3.91	286
3.89	284
3.87	283
3.90	284
3.88	283
3.89	284
3.89	284
3.89	284
3.89	284
3.89	284
3.89	284
3.89	284
3.91	285
3.94	286
3.92	286
3.93	286
3.93	286
3.93	286
3.93	286
3.92	286
3.93	286
3.96	289
4.22	306
4.34	317
4.29	314
4.57	332
4.74	343
4.90	355
4.82	351
5.00	361
5.07	367
5.10	368
5.08	367
5.11	368
5.13	370
5.13	371
5.14	371
5.14	371
5.14	371
5.14	371
5.14	371
5.15	371
5.14	371
5.15	372
5.15	372
5.15	371
5.15	371
5.15	371
5.15	371
5.17	373
5.18	373
5.27	380
5.37	387
5.48	393
5.56	398
5.63	402
5.72	408
5.79	412
5.83	415
5.90	419
5.98	422
6.09	429
6.18	433
6.24	437
6.28	438
6.32	440
6.37	443
6.41	444
6.35	443
6.36	443
6.33	443
6.34	443
6.34	442
6.34	443
6.34	442
6.34	443
6.34	443
6.34	443
6.34	443
6.31	442
6.59	453
6.70	458
6.74	459
6.74	460
6.74	460
6.75	460
6.75	460
6.75	460
6.75	460
6.75	461
6.75	460
6.75	460
6.76	461
6.76	461
6.76	460
6.76	460
6.75	460
6.76	460
6.76	460
6.76	461
6.76	460
6.76	461
6.76	461
6.76	460
6.76	461
6.77	460
6.77	461
6.77	461
6.79	462
6.87	464
7.04	472
7.21	477
7.30	481
7.45	486
7.57	490
7.63	492
7.67	493
7.73	494
7.79	497
7.88	500
7.96	502
8.01	503
8.08	505
8.12	506
8.16	507
8.20	508
8.28	511
8.37	514
8.46	516
8.36	513
8.34	513
8.34	513
8.34	513
8.34	512
8.34	513
8.33	512
8.33	513
8.34	513
8.34	513
8.33	513
8.33	513
8.33	512
8.33	513
8.33	513
8.33	512
8.34	512
8.43	515
8.70	522
8.91	527
8.97	529
8.97	528
8.97	529
8.97	528
8.97	528
8.98	529
8.97	528
8.97	529
8.97	528
8.97	529
8.99	529
9.14	533
9.17	533
9.18	534
9.18	534
9.18	534
9.18	534
9.18	533
9.18	534
9.18	534
9.18	533
9.19	533
9.19	534
9.20	534
9.20	534
9.21	534
9.21	534
9.20	535
9.21	534
9.21	534
9.21	534
9.21	535
9.21	534
9.21	534
9.21	534
9.21	535
9.21	535
9.21	535
9.21	535
9.21	535
9.21	535
9.21	534
9.21	534
9.21	534
9.21	534
9.21	534
9.21	534
9.21	534
9.21	535
9.21	534
9.21	534
