I_A1 / A	B_B1 / mT	S_1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	0	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	0	1
-0.01	-1	1
-0.02	0	1
-0.02	0	1
-0.02	-1	1
-0.01	0	1
-0.01	-1	1
-0.01	-1	1
-0.02	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
-0.01	-1	1
0.15	10	1
1.28	90	1
1.23	87	1
2.04	147	1
2.36	173	1
2.86	208	1
3.25	238	1
2.78	207	1
3.05	224	1
2.91	215	1
2.98	220	1
2.95	218	1
3.27	239	1
3.14	232	1
3.23	237	1
3.18	234	1
3.37	247	1
3.30	242	1
3.33	244	1
3.34	245	1
3.51	257	1
3.56	260	1
3.58	262	1
3.59	262	1
3.61	264	1
3.61	265	1
3.61	264	1
3.61	265	1
3.62	265	1
3.62	265	1
3.62	265	1
3.62	265	1
3.61	265	1
3.62	265	1
3.61	265	1
3.62	264	1
3.62	265	1
3.61	265	1
3.62	265	1
3.62	264	1
3.61	265	1
3.61	265	1
3.62	265	1
3.62	265	1
3.64	266	1
3.76	275	1
3.84	281	1
3.90	285	1
3.97	290	1
4.03	295	1
4.08	300	1
4.14	303	1
4.19	307	1
4.24	310	1
4.27	313	1
4.31	316	1
4.35	318	1
4.37	320	1
4.40	322	1
4.42	324	1
4.44	326	1
4.49	329	1
4.56	333	1
4.61	338	1
4.65	340	1
4.69	342	1
4.71	344	1
4.74	346	1
4.77	348	1
4.80	351	1
4.85	354	1
4.90	357	1
4.93	360	1
4.96	362	1
4.98	364	1
5.02	366	1
5.05	368	1
5.09	371	1
5.14	374	1
5.20	378	1
5.24	380	1
5.27	383	1
5.32	385	1
5.35	388	1
5.38	389	1
5.40	391	1
5.43	393	1
5.47	395	1
5.51	398	1
5.54	400	1
5.59	403	1
5.65	407	1
5.69	409	1
5.73	412	1
5.79	415	1
5.83	416	1
5.87	419	1
5.93	423	1
5.95	424	1
5.96	424	1
5.96	424	1
5.97	425	1
6.04	429	1
6.15	434	1
6.22	438	1
6.31	443	1
6.37	445	1
6.41	447	1
6.28	442	1
6.34	445	1
6.34	445	1
6.33	444	1
6.33	444	1
6.33	444	1
6.33	445	1
6.33	444	1
6.33	444	1
6.33	444	1
6.33	445	1
6.33	444	1
6.33	444	1
6.33	444	1
6.33	444	1
6.32	444	1
6.33	444	1
6.33	444	1
6.33	445	1
6.33	444	1
6.33	445	1
6.33	445	1
6.33	445	1
6.33	445	1
6.33	445	1
6.33	445	1
6.33	445	1
6.33	444	1
6.34	445	1
6.35	445	1
6.68	459	1
6.55	456	1
6.78	464	1
6.86	467	1
6.88	468	1
6.88	468	1
7.04	474	1
7.03	474	1
7.06	475	1
7.09	475	1
7.10	476	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	480	1
7.19	479	1
7.19	479	1
7.19	479	1
7.18	479	1
7.19	479	1
7.19	479	1
7.19	480	1
7.19	479	1
7.18	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	478	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	479	1
7.19	480	1
7.20	479	1
7.19	479	1
