B,Berr,dE,dE_err
124.9236,11.885388758235889,9.338458272609864e-05,3.264559797905514e-07
191.4964,12.705308120246436,9.391200302403651e-05,6.845471656270389e-07
256.4708,14.110112445703615,8.479488952411904e-05,2.7239931758384783e-07
316.674,16.245618824778575,8.944790389325099e-05,9.840162988294173e-08
368.9332,19.198761157074696,9.37648427648631e-05,1.327362600944967e-07
410.0755999999999,23.00151350495006,9.592221687208069e-05,1.4489754841524377e-07
425.4864999999999,25.222587455555093,9.665549934574604e-05,1.4723134049571345e-07
436.92839999999995,27.655738764430073,9.721145153323544e-05,1.495571473318341e-07
444.0047,30.300030599052622,9.779280094846906e-05,1.469018411129282e-07
446.17525519999987,33.750892463335,9.882728194313679e-05,1.618165345435656e-07
