#Farbe,Intensität,$\lambda/\si{nm}$,$\omega_G/°$,$\alpha/°$,$\beta/°$,$g/\si{\nm}$,$\Delta g/\si{\nm}$
Violett,5,404.656,11.0,11.0,51.0,418.05251075293495,5.27370274060333
Violett,3,407.783,11.2,11.2,51.19999999999999,418.8522960595015,5.244158165953396
Violett,1,410.805,11.6,11.6,51.599999999999994,417.15773729888315,5.145386014441095
Blau-Türkis,1,433.922,13.6,13.6,53.599999999999994,417.2182860577418,4.783978153356537
Blau,5,435.833,13.9,13.9,53.900000000000006,415.7847228458468,4.716790748666456
Türkis,4,491.607,18.9,18.9,58.90000000000001,416.5509704917252,3.9840821190335385
Grün,5,546.074,24.2,24.2,64.19999999999999,416.7734519037154,3.366455259065919
Gelb,4,576.96,27.5,27.5,67.5,416.38877051623444,3.0400197084045297
Gelb,3,579.066,27.9,27.9,67.90000000000002,415.26228481123,2.995360172670704
Rot,1,623.44,31.0,31.0,71.0,426.85095424581766,2.8061756053810387
Rot,1,671.643,31.6,31.6,71.6,456.012197727118,2.9450268214782804
Rot,1,690.752,33.0,33.0,73.0,460.2117708551125,2.851799567538778
