&a / °	I1 / %
2,736	3,0
2,733	3,0
2,731	3,0
2,728	2,9
2,725	2,9
2,723	2,9
2,720	2,9
2,717	2,9
2,715	2,9
2,712	2,9
2,709	2,9
2,707	2,9
2,704	2,9
2,701	2,9
2,699	2,9
2,696	2,9
2,693	2,9
2,691	2,9
2,688	2,9
2,685	2,9
2,683	2,9
2,680	2,9
2,677	2,9
2,675	2,9
2,672	2,9
2,669	2,9
2,667	2,9
2,664	2,9
2,661	2,9
2,659	2,9
2,656	2,9
2,653	2,9
2,651	2,9
2,648	2,9
2,645	2,9
2,643	2,9
2,640	2,9
2,637	2,9
2,635	2,9
2,632	2,9
2,629	2,9
2,627	2,9
2,624	2,9
2,621	2,9
2,619	2,9
2,616	2,9
2,613	2,9
2,610	2,9
2,608	2,9
2,605	2,9
2,602	2,9
2,600	2,9
2,597	2,9
2,594	2,9
2,592	2,9
2,589	2,9
2,586	2,9
2,584	2,9
2,581	2,9
2,578	2,9
2,576	2,9
2,573	2,9
2,570	2,9
2,568	2,9
2,565	2,9
2,562	2,9
2,560	2,9
2,557	2,9
2,554	2,9
2,552	2,9
2,549	2,9
2,546	2,9
2,544	2,9
2,541	2,9
2,538	2,9
2,536	2,9
2,533	2,9
2,530	2,9
2,528	2,9
2,525	2,9
2,522	2,9
2,520	2,9
2,517	2,9
2,514	2,9
2,512	2,9
2,509	2,9
2,506	2,9
2,504	2,9
2,501	2,9
2,498	2,9
2,496	2,9
2,493	2,9
2,490	2,9
2,488	2,9
2,485	2,9
2,482	2,9
2,480	2,9
2,477	2,9
2,474	2,9
2,472	2,9
2,469	2,9
2,466	2,9
2,464	2,9
2,461	2,9
2,458	2,9
2,456	2,9
2,453	2,9
2,450	3,0
2,448	3,0
2,445	3,0
2,442	3,0
2,440	3,0
2,437	3,0
2,434	3,0
2,432	3,0
2,429	3,0
2,426	3,0
2,424	3,0
2,421	3,0
2,418	3,0
2,416	3,0
2,413	3,0
2,410	3,0
2,408	3,0
2,405	3,0
2,402	3,0
2,400	3,0
2,397	3,0
2,394	3,0
2,392	3,0
2,389	3,0
2,386	3,0
2,384	3,0
2,381	3,0
2,378	3,0
2,376	3,0
2,373	3,0
2,370	3,0
2,368	3,0
2,365	3,0
2,362	3,0
2,360	3,0
2,357	3,0
2,354	3,0
2,352	3,0
2,349	3,0
2,346	3,0
2,344	3,0
2,341	3,0
2,338	3,0
2,336	3,0
2,333	3,0
2,330	3,0
2,328	3,0
2,325	3,0
2,322	3,0
2,320	3,0
2,317	3,0
2,314	3,0
2,312	3,0
2,309	3,0
2,306	3,0
2,304	3,0
2,301	3,0
2,298	3,0
2,296	3,0
2,293	3,0
2,290	3,0
2,288	3,0
2,285	3,0
2,282	3,0
2,280	3,0
2,277	3,0
2,274	3,0
2,272	3,0
2,269	3,0
2,266	3,1
2,264	3,1
2,261	3,1
2,258	3,1
2,256	3,1
2,253	3,1
2,250	3,1
2,248	3,1
2,245	3,1
2,242	3,1
2,240	3,1
2,237	3,1
2,234	3,1
2,231	3,1
2,229	3,1
2,226	3,1
2,223	3,1
2,221	3,1
2,218	3,1
2,215	3,1
2,213	3,1
2,210	3,1
2,207	3,1
2,205	3,1
2,202	3,1
2,199	3,1
2,197	3,1
2,194	3,1
2,191	3,1
2,189	3,1
2,186	3,1
2,183	3,1
2,181	3,1
2,178	3,1
2,175	3,1
2,173	3,1
2,170	3,1
2,167	3,1
2,165	3,1
2,162	3,1
2,159	3,1
2,157	3,1
2,154	3,1
2,151	3,2
2,149	3,2
2,146	3,2
2,143	3,2
2,141	3,2
2,138	3,2
2,135	3,2
2,133	3,2
2,130	3,2
2,127	3,2
2,125	3,2
2,122	3,2
2,119	3,2
2,117	3,2
2,114	3,2
2,111	3,2
2,109	3,2
2,106	3,2
2,103	3,2
2,101	3,2
2,098	3,2
2,095	3,2
2,093	3,2
2,090	3,2
2,087	3,2
2,085	3,2
2,082	3,2
2,079	3,2
2,077	3,2
2,074	3,2
2,071	3,2
2,069	3,2
2,066	3,2
2,063	3,2
2,061	3,2
2,058	3,2
2,055	3,2
2,053	3,2
2,050	3,2
2,047	3,2
2,045	3,2
2,042	3,2
2,039	3,2
2,037	3,2
2,034	3,2
2,031	3,2
2,029	3,2
2,026	3,2
2,023	3,2
2,021	3,2
2,018	3,2
2,015	3,2
2,013	3,2
2,010	3,2
2,007	3,2
2,005	3,2
2,002	3,2
1,999	3,2
1,997	3,2
1,994	3,2
1,991	3,2
1,989	3,2
1,986	3,2
1,983	3,2
1,980	3,2
1,978	3,2
1,975	3,2
1,972	3,2
1,970	3,2
1,967	3,2
1,964	3,2
1,962	3,2
1,959	3,2
1,956	3,2
1,954	3,2
1,951	3,2
1,948	3,2
1,946	3,2
1,943	3,2
1,940	3,2
1,938	3,2
1,935	3,2
1,932	3,2
1,930	3,2
1,927	3,2
1,924	3,2
1,922	3,2
1,919	3,2
1,916	3,2
1,914	3,2
1,911	3,2
1,908	3,2
1,906	3,2
1,903	3,2
1,900	3,2
1,898	3,2
1,895	3,2
1,892	3,2
1,890	3,2
1,887	3,2
1,884	3,2
1,882	3,2
1,879	3,2
1,876	3,2
1,874	3,2
1,871	3,2
1,868	3,2
1,866	3,2
1,863	3,2
1,860	3,2
1,858	3,2
1,855	3,2
1,852	3,2
1,850	3,2
