&a / °	I1 / %
2,736	3,1
2,733	3,1
2,731	3,1
2,728	3,1
2,725	3,1
2,723	3,1
2,720	3,1
2,717	3,1
2,715	3,1
2,712	3,1
2,709	3,1
2,707	3,1
2,704	3,1
2,701	3,1
2,699	3,1
2,696	3,1
2,693	3,1
2,691	3,1
2,688	3,1
2,685	3,1
2,683	3,1
2,680	3,1
2,677	3,1
2,675	3,1
2,672	3,1
2,669	3,1
2,667	3,1
2,664	3,1
2,661	3,1
2,659	3,1
2,656	3,1
2,653	3,1
2,651	3,1
2,648	3,1
2,645	3,1
2,643	3,1
2,640	3,1
2,637	3,1
2,635	3,1
2,632	3,1
2,629	3,1
2,627	3,1
2,624	3,1
2,621	3,1
2,619	3,1
2,616	3,1
2,613	3,1
2,610	3,1
2,608	3,1
2,605	3,1
2,602	3,1
2,600	3,1
2,597	3,1
2,594	3,1
2,592	3,1
2,589	3,1
2,586	3,1
2,584	3,1
2,581	3,1
2,578	3,1
2,576	3,1
2,573	3,1
2,570	3,1
2,568	3,1
2,565	3,1
2,562	3,1
2,560	3,1
2,557	3,1
2,554	3,1
2,552	3,1
2,549	3,1
2,546	3,1
2,544	3,1
2,541	3,1
2,538	3,1
2,536	3,1
2,533	3,1
2,530	3,1
2,528	3,1
2,525	3,1
2,522	3,1
2,520	3,1
2,517	3,1
2,514	3,1
2,512	3,1
2,509	3,1
2,506	3,1
2,504	3,1
2,501	3,1
2,498	3,1
2,496	3,1
2,493	3,1
2,490	3,1
2,488	3,1
2,485	3,1
2,482	3,1
2,480	3,1
2,477	3,1
2,474	3,1
2,472	3,1
2,469	3,1
2,466	3,1
2,464	3,1
2,461	3,1
2,458	3,1
2,456	3,1
2,453	3,1
2,450	3,1
2,448	3,1
2,445	3,1
2,442	3,1
2,440	3,1
2,437	3,1
2,434	3,1
2,432	3,1
2,429	3,1
2,426	3,1
2,424	3,1
2,421	3,1
2,418	3,1
2,416	3,1
2,413	3,1
2,410	3,1
2,408	3,1
2,405	3,1
2,402	3,1
2,400	3,1
2,397	3,1
2,394	3,1
2,392	3,1
2,389	3,1
2,386	3,1
2,384	3,1
2,381	3,1
2,378	3,1
2,376	3,1
2,373	3,1
2,370	3,1
2,368	3,1
2,365	3,1
2,362	3,1
2,360	3,1
2,357	3,1
2,354	3,1
2,352	3,1
2,349	3,1
2,346	3,1
2,344	3,1
2,341	3,1
2,338	3,1
2,336	3,1
2,333	3,1
2,330	3,1
2,328	3,1
2,325	3,1
2,322	3,1
2,320	3,1
2,317	3,1
2,314	3,1
2,312	3,1
2,309	3,1
2,306	3,1
2,304	3,1
2,301	3,1
2,298	3,1
2,296	3,1
2,293	3,1
2,290	3,1
2,288	3,1
2,285	3,1
2,282	3,1
2,280	3,1
2,277	3,1
2,274	3,1
2,272	3,1
2,269	3,1
2,266	3,1
2,264	3,1
2,261	3,1
2,258	3,2
2,256	3,1
2,253	3,1
2,250	3,1
2,248	3,1
2,245	3,1
2,242	3,1
2,240	3,1
2,237	3,2
2,234	3,2
2,231	3,2
2,229	3,2
2,226	3,2
2,223	3,2
2,221	3,2
2,218	3,2
2,215	3,2
2,213	3,2
2,210	3,2
