&a / °	I1 / %
2,736	4,8
2,733	4,8
2,731	4,8
2,728	4,8
2,725	4,7
2,723	4,8
2,720	4,8
2,717	4,7
2,715	4,7
2,712	4,8
2,709	4,8
2,707	4,7
2,704	4,7
2,701	4,7
2,699	4,7
2,696	4,7
2,693	4,7
2,691	4,7
2,688	4,7
2,685	4,7
2,683	4,7
2,680	4,7
2,677	4,7
2,675	4,7
2,672	4,7
2,669	4,7
2,667	4,7
2,664	4,8
2,661	4,7
2,659	4,7
2,656	4,7
2,653	4,8
2,651	4,8
2,648	4,8
2,645	4,8
2,643	4,8
2,640	4,8
2,637	4,8
2,635	4,8
2,632	4,8
2,629	4,8
2,627	4,8
2,624	4,8
2,621	4,8
2,619	4,8
2,616	4,8
2,613	4,8
2,610	4,8
2,608	4,8
2,605	4,8
2,602	4,8
2,600	4,8
2,597	4,8
2,594	4,8
2,592	4,8
2,589	4,8
2,586	4,8
2,584	4,8
2,581	4,8
2,578	4,8
2,576	4,8
2,573	4,8
2,570	4,8
2,568	4,8
2,565	4,8
2,562	4,8
2,560	4,8
2,557	4,8
2,554	4,8
2,552	4,8
2,549	4,8
2,546	4,8
2,544	4,8
2,541	4,8
2,538	4,8
2,536	4,8
2,533	4,8
2,530	4,8
2,528	4,8
2,525	4,8
2,522	4,9
2,520	4,9
2,517	4,8
2,514	4,8
2,512	4,8
2,509	4,8
2,506	4,8
2,504	4,8
2,501	4,8
2,498	4,9
2,496	4,8
2,493	4,9
2,490	4,9
2,488	4,9
2,485	4,9
2,482	4,9
2,480	4,9
2,477	4,9
2,474	4,9
2,472	4,9
2,469	4,9
2,466	4,9
2,464	4,9
2,461	4,9
2,458	4,9
2,456	4,9
2,453	4,9
2,450	4,9
2,448	4,9
2,445	4,9
2,442	4,9
2,440	4,9
2,437	4,9
2,434	4,9
2,432	4,9
2,429	4,9
2,426	4,9
2,424	4,9
2,421	5,0
2,418	5,0
2,416	5,0
2,413	5,0
2,410	5,0
2,408	5,0
2,405	5,0
2,402	5,0
2,400	5,0
2,397	5,0
2,394	5,0
2,392	5,0
2,389	5,0
2,386	5,0
2,384	5,0
2,381	5,0
2,378	5,0
2,376	5,0
2,373	5,0
2,370	5,0
