&b / °	R_0 / 1/s
2,0	2,3
2,1	3,2
2,2	2,2
2,3	2,4
2,4	2,2
2,5	1,6
2,6	1,8
2,7	3,2
2,8	2,7
2,9	2,4
3,0	3,4
3,1	3,5
3,2	3,3
3,3	3,4
3,4	4,4
3,5	6,9
3,6	8,0
3,7	11,2
3,8	13,2
3,9	16,8
4,0	22,6
4,1	22,1
4,2	19,6
4,3	24,8
4,4	23,1
4,5	29,7
4,6	28,8
4,7	26,5
4,8	34,4
4,9	40,3
5,0	44,3
5,1	43,9
5,2	39,1
5,3	33,7
5,4	39,3
5,5	62,9
5,6	83,5
5,7	84,6
5,8	79,4
5,9	72,8
6,0	38,6
6,1	34,7
6,2	42,0
6,3	41,0
6,4	36,1
6,5	36,1
6,6	37,7
6,7	36,5
6,8	36,7
6,9	37,2
7,0	36,4
7,1	35,9
7,2	37,3
7,3	34,1
7,4	36,3
7,5	32,5
7,6	35,1
7,7	32,7
7,8	30,3
7,9	26,9
8,0	31,9
8,1	30,7
8,2	27,6
8,3	26,5
8,4	27,3
8,5	26,1
8,6	27,7
8,7	24,7
8,8	24,4
8,9	19,5
9,0	23,4
9,1	21,7
9,2	23,1
9,3	19,7
9,4	19,0
9,5	19,4
9,6	18,5
9,7	18,9
9,8	17,8
9,9	16,3
10,0	19,2
10,1	16,2
10,2	19,3
10,3	16,4
10,4	17,7
10,5	15,3
10,6	14,0
10,7	15,5
10,8	16,8
10,9	14,9
11,0	14,2
11,1	16,9
11,2	20,1
11,3	21,6
11,4	20,4
11,5	24,5
11,6	20,4
11,7	16,0
11,8	13,8
11,9	15,8
12,0	16,0
12,1	14,1
12,2	14,6
12,3	13,5
12,4	12,6
12,5	12,2
12,6	14,0
12,7	13,3
12,8	13,2
12,9	13,1
13,0	12,3
13,1	14,3
13,2	11,4
13,3	13,0
13,4	9,8
13,5	12,8
13,6	11,0
13,7	10,5
13,8	11,5
13,9	12,2
14,0	11,0
14,1	14,5
14,2	12,5
14,3	14,2
14,4	11,3
14,5	12,2
14,6	12,0
14,7	12,4
14,8	11,2
14,9	11,6
15,0	11,2
15,1	9,9
15,2	11,4
15,3	11,5
15,4	12,7
15,5	10,8
15,6	12,9
15,7	12,1
15,8	10,5
15,9	11,8
16,0	11,3
16,1	9,4
16,2	12,2
16,3	13,2
16,4	10,6
16,5	10,6
16,6	10,6
16,7	11,7
16,8	10,7
16,9	13,8
17,0	14,0
17,1	13,5
17,2	13,6
17,3	12,9
17,4	13,2
17,5	11,4
17,6	10,8
17,7	11,3
17,8	10,4
17,9	10,5
18,0	9,6
18,1	7,9
18,2	9,8
18,3	11,0
18,4	8,4
18,5	9,0
18,6	9,7
18,7	8,3
18,8	8,2
18,9	8,7
19,0	10,0
19,1	10,5
19,2	8,1
19,3	9,5
19,4	8,5
19,5	10,4
19,6	7,9
19,7	9,0
19,8	8,2
19,9	9,4
20,0	8,8
20,1	7,4
20,2	9,1
20,3	6,9
20,4	8,4
20,5	7,7
20,6	8,2
20,7	8,9
20,8	9,8
20,9	7,7
21,0	7,0
21,1	7,5
21,2	7,3
21,3	7,8
21,4	7,3
21,5	7,3
21,6	7,6
21,7	6,2
21,8	9,1
21,9	8,9
22,0	8,1
22,1	7,2
22,2	7,7
22,3	7,1
22,4	7,1
22,5	6,7
22,6	6,9
22,7	7,6
22,8	7,4
22,9	8,3
23,0	6,7
23,1	6,6
23,2	6,5
23,3	7,3
23,4	7,8
23,5	7,3
23,6	7,3
23,7	7,5
23,8	7,4
23,9	7,0
24,0	7,3
24,1	7,5
24,2	7,1
24,3	7,9
24,4	7,2
24,5	6,0
24,6	6,1
24,7	5,6
24,8	6,6
24,9	6,1
25,0	7,4
