&b / °	R_0 / 1/s
28,50	0,683
28,51	0,875
28,52	0,758
28,53	0,817
28,54	0,783
28,55	0,767
28,56	0,775
28,57	0,725
28,58	0,808
28,59	0,850
28,60	0,925
28,61	0,792
28,62	0,858
28,63	0,908
28,64	0,858
28,65	0,942
28,66	0,775
28,67	0,692
28,68	0,892
28,69	0,725
28,70	0,708
28,71	0,717
28,72	0,775
28,73	0,833
28,74	0,725
28,75	0,700
28,76	0,533
28,77	0,808
28,78	0,808
28,79	0,800
28,80	0,633
28,81	0,758
28,82	0,767
28,83	0,800
28,84	0,775
28,85	0,708
28,86	0,650
28,87	0,692
28,88	0,700
28,89	0,767
28,90	0,625
28,91	0,850
28,92	0,750
28,93	0,758
28,94	0,792
28,95	0,650
28,96	0,817
28,97	0,800
28,98	0,800
28,99	0,675
29,00	0,700
29,01	0,708
29,02	0,850
29,03	0,775
29,04	0,600
29,05	0,800
29,06	0,717
29,07	0,733
29,08	0,675
29,09	0,700
29,10	0,725
29,11	0,742
29,12	0,858
29,13	0,717
29,14	0,692
29,15	0,817
29,16	0,708
29,17	0,808
29,18	0,867
29,19	0,800
29,20	0,733
29,21	0,775
29,22	0,817
29,23	0,825
29,24	0,742
29,25	0,750
29,26	0,775
29,27	0,700
29,28	0,642
29,29	0,683
29,30	0,808
29,31	0,675
29,32	0,825
29,33	0,683
29,34	0,708
29,35	0,708
29,36	0,675
29,37	0,925
29,38	0,717
29,39	0,783
29,40	0,667
29,41	0,783
29,42	0,708
29,43	0,575
29,44	0,642
29,45	0,733
29,46	0,875
29,47	0,775
29,48	0,775
29,49	0,567
29,50	0,925
29,51	0,808
29,52	0,625
29,53	0,792
29,54	0,825
29,55	0,917
29,56	0,717
29,57	0,658
29,58	0,783
29,59	0,792
29,60	0,808
29,61	0,675
29,62	0,817
29,63	0,692
29,64	0,958
29,65	0,767
29,66	0,783
29,67	0,825
29,68	0,742
29,69	0,708
29,70	0,833
29,71	0,642
29,72	0,750
29,73	0,858
29,74	0,750
29,75	0,758
29,76	0,833
29,77	0,725
29,78	0,850
29,79	0,792
29,80	0,792
29,81	0,800
29,82	0,942
29,83	0,875
29,84	0,792
29,85	0,883
29,86	0,817
29,87	0,800
29,88	0,792
29,89	0,708
29,90	0,725
29,91	0,892
29,92	0,942
29,93	0,817
29,94	0,992
29,95	0,825
29,96	0,858
29,97	0,858
29,98	0,767
29,99	0,850
30,00	0,808
30,01	1,008
30,02	1,192
30,03	1,150
30,04	1,033
30,05	1,508
30,06	1,650
30,07	2,117
30,08	1,883
30,09	2,342
30,10	2,858
30,11	2,958
30,12	3,300
30,13	3,292
30,14	3,717
30,15	3,858
30,16	3,375
30,17	3,533
30,18	2,925
30,19	2,892
30,20	2,217
30,21	2,150
30,22	1,925
30,23	1,392
30,24	1,400
30,25	1,383
30,26	1,258
30,27	1,600
30,28	1,592
30,29	1,692
30,30	1,800
30,31	1,708
30,32	2,000
30,33	2,175
30,34	1,967
30,35	2,267
30,36	2,117
30,37	1,858
30,38	1,975
30,39	1,600
30,40	1,475
30,41	1,275
30,42	1,158
30,43	1,200
30,44	0,900
30,45	0,933
30,46	0,758
30,47	0,792
30,48	0,750
30,49	0,833
30,50	0,833
30,51	0,725
30,52	0,675
30,53	0,667
30,54	0,700
30,55	0,867
30,56	0,767
30,57	0,633
30,58	0,675
30,59	0,675
30,60	0,708
30,61	0,717
30,62	0,775
30,63	0,725
30,64	0,733
30,65	0,750
30,66	0,858
30,67	0,750
30,68	0,842
30,69	0,742
30,70	0,675
30,71	0,725
30,72	0,675
30,73	0,650
30,74	0,567
30,75	0,775
30,76	0,775
30,77	0,650
30,78	0,742
30,79	0,800
30,80	0,567
30,81	0,708
30,82	0,608
30,83	0,642
30,84	0,808
30,85	0,825
30,86	0,717
30,87	0,625
30,88	0,700
30,89	0,592
30,90	0,650
30,91	0,725
30,92	0,675
30,93	0,742
30,94	0,650
30,95	0,708
30,96	0,825
30,97	0,800
30,98	0,792
30,99	0,558
31,00	0,717
31,01	0,708
31,02	0,792
31,03	0,708
31,04	0,608
31,05	0,842
31,06	0,667
31,07	0,775
31,08	0,658
31,09	0,742
31,10	0,683
31,11	0,675
31,12	0,608
31,13	0,800
31,14	0,625
31,15	0,617
31,16	0,667
31,17	0,750
31,18	0,708
31,19	0,633
31,20	0,700
31,21	0,650
31,22	0,617
31,23	0,642
31,24	0,617
31,25	0,617
31,26	0,633
31,27	0,633
31,28	0,717
31,29	0,592
31,30	0,733
31,31	0,742
31,32	0,733
31,33	0,658
31,34	0,658
31,35	0,717
31,36	0,600
31,37	0,800
31,38	0,775
31,39	0,583
31,40	0,633
31,41	0,542
31,42	0,617
31,43	0,592
31,44	0,642
31,45	0,700
31,46	0,733
31,47	0,583
31,48	0,542
31,49	0,658
31,50	0,658
31,51	0,650
31,52	0,658
31,53	0,700
31,54	0,617
31,55	0,583
31,56	0,617
31,57	0,683
31,58	0,617
31,59	0,592
31,60	0,583
31,61	0,808
31,62	0,658
31,63	0,550
31,64	0,867
31,65	0,550
31,66	0,625
31,67	0,592
31,68	0,517
31,69	0,617
31,70	0,650
31,71	0,742
31,72	0,675
31,73	0,642
31,74	0,592
31,75	0,692
31,76	0,667
31,77	0,600
31,78	0,550
31,79	0,600
31,80	0,650
31,81	0,508
31,82	0,592
31,83	0,575
31,84	0,658
31,85	0,658
31,86	0,617
31,87	0,617
31,88	0,683
31,89	0,600
31,90	0,558
31,91	0,742
31,92	0,733
31,93	0,658
31,94	0,575
31,95	0,533
31,96	0,633
31,97	0,600
31,98	0,758
31,99	0,583
32,00	0,500
