&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s
28,50	0,383	0	0,667
28,51	0,408		0,483
28,52	0,425		0,458
28,53	0,333		0,383
28,54	0,325		0,375
28,55	0,258		0,375
28,56	0,317		0,325
28,57	0,292		0,392
28,58	0,283		0,475
28,59	0,300		0,358
28,60	0,292	1	0,367
28,61	0,350		0,367
28,62	0,417		0,317
28,63	0,317		0,450
28,64	0,317		0,500
28,65	0,233		0,408
28,66	0,208		0,375
28,67	0,292		0,300
28,68	0,308		0,483
28,69	0,225		0,392
28,70	0,333	0	0,433
28,71	0,250		0,392
28,72	0,350		0,408
28,73	0,358		0,308
28,74	0,350		0,325
28,75	0,275		0,358
28,76	0,317		0,400
28,77	0,308		0,317
28,78	0,208		0,375
28,79	0,333		0,458
28,80	0,333	1	0,442
28,81	0,308		0,358
28,82	0,300		0,358
28,83	0,183		0,425
28,84	0,358		0,367
28,85	0,283		0,408
28,86	0,308		0,425
28,87	0,300		0,300
28,88	0,267		0,308
28,89	0,242		0,342
28,90	0,267	1	0,358
28,91	0,325		0,258
28,92	0,217		0,358
28,93	0,242		0,383
28,94	0,292		0,308
28,95	0,325		0,375
28,96	0,358		0,308
28,97	0,242		0,467
28,98	0,258		0,375
28,99	0,300		0,392
29,00	0,300	1	0,367
29,01	0,283		0,375
29,02	0,400		0,358
29,03	0,300		0,250
29,04	0,308		0,317
29,05	0,258		0,375
29,06	0,292		0,375
29,07	0,267		0,408
29,08	0,242		0,417
29,09	0,200		0,417
29,10	0,292	2	0,325
29,11	0,292		0,458
29,12	0,250		0,392
29,13	0,325		0,342
29,14	0,292		0,292
29,15	0,342		0,367
29,16	0,283		0,367
29,17	0,375		0,325
29,18	0,342		0,458
29,19	0,233		0,517
29,20	0,233	1	0,375
29,21	0,292		0,408
29,22	0,342		0,333
29,23	0,292		0,383
29,24	0,300		0,342
29,25	0,308		0,358
29,26	0,308		0,333
29,27	0,367		0,358
29,28	0,367		0,367
29,29	0,375		0,317
29,30	0,283	0	0,308
29,31	0,275		0,383
29,32	0,333		0,242
29,33	0,342		0,417
29,34	0,275		0,350
29,35	0,192		0,308
29,36	0,258		0,292
29,37	0,225		0,342
29,38	0,275		0,325
29,39	0,275		0,283
29,40	0,258	0	0,308
29,41	0,275		0,292
29,42	0,375		0,325
29,43	0,350		0,400
29,44	0,275		0,450
29,45	0,342		0,325
29,46	0,342		0,283
29,47	0,350		0,317
29,48	0,358		0,333
29,49	0,283		0,375
29,50	0,392	0	0,375
29,51	0,308		0,433
29,52	0,258		0,275
29,53	0,375		0,350
29,54	0,317		0,242
29,55	0,342		0,283
29,56	0,383		0,367
29,57	0,442		0,308
29,58	0,392		0,325
29,59	0,325		0,350
29,60	0,333	0	0,267
29,61	0,400		0,325
29,62	0,392		0,367
29,63	0,408		0,317
29,64	0,392		0,300
29,65	0,292		0,400
29,66	0,408		0,367
29,67	0,342		0,508
29,68	0,217		0,358
29,69	0,283		0,383
29,70	0,358	1	0,400
29,71	0,375		0,375
29,72	0,367		0,350
29,73	0,350		0,392
29,74	0,325		0,300
29,75	0,325		0,258
29,76	0,333		0,333
29,77	0,308		0,358
29,78	0,417		0,333
29,79	0,333		0,433
29,80	0,300	0	0,308
29,81	0,383		0,350
29,82	0,383		0,467
29,83	0,292		0,283
29,84	0,267		0,408
29,85	0,258		0,350
29,86	0,250		0,258
29,87	0,375		0,342
29,88	0,367		0,383
29,89	0,375		0,475
29,90	0,425	0	0,342
29,91	0,367		0,417
29,92	0,333		0,350
29,93	0,450		0,367
29,94	0,350		0,308
29,95	0,417		0,358
29,96	0,317		0,392
29,97	0,342		0,408
29,98	0,258		0,275
29,99	0,258		0,467
30,00	0,442	0	0,458
30,01	0,375		0,342
30,02	0,325		0,350
30,03	0,317		0,342
30,04	0,275		0,342
30,05	0,283		0,442
30,06	0,342		0,442
30,07	0,283		0,400
30,08	0,375		0,367
30,09	0,375		0,425
30,10	0,342	0	0,400
30,11	0,200		0,450
30,12	0,217		0,517
30,13	0,442		0,767
30,14	0,267		0,842
30,15	0,400		0,900
30,16	0,342		1,275
30,17	0,300		1,108
30,18	0,258		1,708
30,19	0,325		1,967
30,20	0,358	8	2,167
30,21	0,317		2,042
30,22	0,383		2,075
30,23	0,258		2,092
30,24	0,267		1,733
30,25	0,208		1,575
30,26	0,333		1,008
30,27	0,342		0,725
30,28	0,292		0,742
30,29	0,292		0,508
30,30	0,292	0	0,508
30,31	0,358		0,550
30,32	0,292		0,492
30,33	0,250		0,600
30,34	0,358		0,533
30,35	0,317		0,683
30,36	0,375		0,600
30,37	0,317		0,792
30,38	0,292		0,883
30,39	0,258		1,100
30,40	0,242	0	1,225
30,41	0,250		1,192
30,42	0,333		1,358
30,43	0,300		1,100
30,44	0,300		1,183
30,45	0,392		1,025
30,46	0,292		0,742
30,47	0,275		0,525
30,48	0,267		0,575
30,49	0,233		0,433
30,50	0,242	0	0,417
30,51	0,258		0,400
30,52	0,275		0,425
30,53	0,325		0,408
30,54	0,350		0,400
30,55	0,308		0,333
30,56	0,350		0,425
30,57	0,233		0,400
30,58	0,258		0,333
30,59	0,225		0,308
30,60	0,325	0	0,442
30,61	0,283		0,375
30,62	0,408		0,417
30,63	0,250		0,417
30,64	0,300		0,350
30,65	0,325		0,417
