n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	4
16	3
17	15
18	13
19	11
20	10
21	7
22	9
23	14
24	13
25	12
26	17
27	12
28	22
29	23
30	20
31	21
32	28
33	36
34	32
35	23
36	45
37	39
38	34
39	53
40	50
41	56
42	69
43	66
44	64
45	74
46	72
47	80
48	86
49	101
50	84
51	114
52	104
53	115
54	113
55	107
56	115
57	130
58	133
59	138
60	144
61	146
62	131
63	157
64	143
65	138
66	159
67	184
68	164
69	178
70	172
71	162
72	167
73	171
74	152
75	167
76	198
77	166
78	211
79	169
80	169
81	169
82	188
83	190
84	157
85	169
86	146
87	182
88	137
89	155
90	122
91	138
92	139
93	128
94	126
95	125
96	115
97	103
98	87
99	100
100	104
101	106
102	97
103	114
104	109
105	98
106	82
107	79
108	75
109	78
110	78
111	71
112	65
113	60
114	59
115	50
116	70
117	46
118	53
119	51
120	55
121	41
122	44
123	59
124	56
125	55
126	48
127	51
128	66
129	55
130	49
131	56
132	33
133	54
134	36
135	31
136	43
137	39
138	43
139	30
140	39
141	27
142	38
143	26
144	21
145	32
146	27
147	23
148	20
149	13
150	18
151	24
152	12
153	14
154	15
155	14
156	17
157	13
158	11
159	14
160	9
161	11
162	9
163	7
164	11
165	9
166	9
167	10
168	7
169	8
170	6
171	11
172	10
173	6
174	6
175	6
176	7
177	8
178	9
179	7
180	6
181	5
182	13
183	6
184	6
185	3
186	5
187	6
188	3
189	7
190	6
191	4
192	1
193	8
194	3
195	6
196	6
197	6
198	4
199	8
200	4
201	2
202	7
203	9
204	4
205	1
206	7
207	3
208	3
209	3
210	2
211	6
212	5
213	5
214	7
215	2
216	2
217	1
218	9
219	3
220	2
221	3
222	2
223	1
224	2
225	5
226	1
227	4
228	4
229	2
230	2
231	1
232	2
233	1
234	5
235	0
236	1
237	4
238	2
239	3
240	6
241	1
242	0
243	4
244	8
245	6
246	5
247	3
248	4
249	4
250	3
251	4
252	0
253	0
254	3
255	2
256	3
257	4
258	5
259	5
260	3
261	5
262	5
263	3
264	3
265	2
266	3
267	4
268	3
269	4
270	7
271	4
272	5
273	3
274	4
275	1
276	5
277	5
278	2
279	2
280	4
281	2
282	0
283	0
284	3
285	4
286	1
287	2
288	5
289	1
290	5
291	2
292	3
293	4
294	3
295	5
296	7
297	2
298	0
299	6
300	3
301	3
302	4
303	7
304	6
305	7
306	9
307	6
308	7
309	5
310	5
311	5
312	12
313	13
314	10
315	16
316	12
317	15
318	16
319	20
320	19
321	46
322	32
323	44
324	54
325	64
326	61
327	57
328	51
329	56
330	59
331	59
332	57
333	48
334	41
335	40
336	35
337	21
338	25
339	17
340	11
341	11
342	13
343	6
344	4
345	9
346	6
347	6
348	5
349	5
350	7
351	7
352	2
353	2
354	4
355	6
356	7
357	5
358	5
359	4
360	10
361	10
362	6
363	9
364	10
365	9
366	15
367	14
368	9
369	15
370	12
371	8
372	9
373	10
374	5
375	7
376	1
377	10
378	3
379	3
380	1
381	3
382	3
383	2
384	1
385	0
386	1
387	0
388	1
389	0
390	0
391	1
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	1
406	1
407	0
408	0
409	0
410	0
411	1
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	1
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	1
473	0
474	0
475	0
476	0
477	1
478	0
479	0
480	1
481	0
482	0
483	1
484	0
485	0
486	0
487	1
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
