n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	2
16	15
17	10
18	19
19	18
20	14
21	26
22	15
23	13
24	19
25	8
26	10
27	19
28	18
29	19
30	17
31	21
32	17
33	22
34	32
35	31
36	34
37	37
38	30
39	28
40	34
41	42
42	42
43	51
44	49
45	62
46	62
47	65
48	77
49	75
50	77
51	73
52	98
53	88
54	97
55	84
56	104
57	97
58	103
59	111
60	98
61	110
62	108
63	130
64	125
65	102
66	108
67	99
68	132
69	150
70	140
71	125
72	160
73	158
74	146
75	143
76	162
77	134
78	137
79	136
80	152
81	130
82	150
83	149
84	149
85	158
86	150
87	154
88	140
89	156
90	169
91	152
92	130
93	148
94	145
95	152
96	142
97	155
98	123
99	132
100	137
101	121
102	123
103	135
104	106
105	122
106	116
107	110
108	113
109	122
110	137
111	126
112	103
113	121
114	117
115	105
116	98
117	109
118	110
119	94
120	95
121	145
122	115
123	132
124	134
125	120
126	124
127	122
128	151
129	142
130	134
131	151
132	136
133	115
134	116
135	141
136	130
137	153
138	127
139	108
140	115
141	106
142	120
143	132
144	144
145	129
146	133
147	151
148	140
149	166
150	150
151	171
152	186
153	181
154	185
155	160
156	149
157	157
158	146
159	145
160	127
161	102
162	104
163	92
164	74
165	98
166	70
167	75
168	78
169	69
170	89
171	77
172	71
173	96
174	97
175	96
176	119
177	95
178	120
179	98
180	99
181	86
182	97
183	81
184	85
185	85
186	70
187	71
188	55
189	47
190	60
191	36
192	41
193	37
194	27
195	31
196	24
197	29
198	25
199	34
200	35
201	24
202	13
203	27
204	27
205	24
206	27
207	25
208	24
209	23
210	16
211	22
212	24
213	10
214	13
215	9
216	14
217	13
218	13
219	14
220	10
221	7
222	10
223	7
224	12
225	7
226	7
227	4
228	8
229	12
230	6
231	11
232	11
233	8
234	7
235	8
236	2
237	3
238	8
239	7
240	4
241	6
242	1
243	3
244	7
245	9
246	9
247	3
248	5
249	5
250	2
251	5
252	4
253	8
254	5
255	6
256	5
257	5
258	4
259	7
260	5
261	7
262	4
263	4
264	5
265	1
266	7
267	2
268	5
269	4
270	4
271	2
272	5
273	2
274	4
275	4
276	6
277	1
278	3
279	4
280	4
281	1
282	3
283	6
284	1
285	5
286	5
287	2
288	4
289	2
290	5
291	2
292	3
293	5
294	5
295	0
296	1
297	4
298	3
299	2
300	3
301	3
302	2
303	1
304	4
305	1
306	2
307	1
308	0
309	1
310	3
311	3
312	1
313	0
314	1
315	1
316	1
317	1
318	1
319	3
320	0
321	3
322	1
323	4
324	2
325	0
326	0
327	0
328	5
329	0
330	1
331	3
332	2
333	2
334	5
335	1
336	1
337	2
338	0
339	5
340	1
341	1
342	2
343	1
344	5
345	0
346	3
347	1
348	1
349	0
350	0
351	1
352	4
353	1
354	1
355	0
356	1
357	0
358	2
359	1
360	1
361	2
362	1
363	0
364	1
365	2
366	1
367	1
368	0
369	1
370	2
371	2
372	2
373	1
374	1
375	1
376	0
377	0
378	4
379	1
380	1
381	1
382	0
383	2
384	1
385	1
386	0
387	0
388	0
389	0
390	3
391	1
392	2
393	0
394	0
395	0
396	1
397	1
398	0
399	0
400	1
401	4
402	1
403	1
404	0
405	1
406	1
407	1
408	2
409	2
410	1
411	0
412	2
413	0
414	1
415	1
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	1
429	0
430	0
431	0
432	0
433	1
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	2
445	1
446	0
447	1
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	2
457	1
458	0
459	1
460	1
461	0
462	1
463	0
464	1
465	0
466	0
467	0
468	0
469	2
470	0
471	0
472	0
473	1
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	1
482	0
483	0
484	0
485	0
486	1
487	1
488	0
489	2
490	0
491	1
492	0
493	0
494	0
495	1
496	0
497	0
498	0
499	0
500	0
501	1
502	0
503	0
504	0
505	0
506	0
507	0
508	1
509	0
510	0
511	2
