n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	2
17	10
18	4
19	4
20	0
21	3
22	5
23	5
24	3
25	7
26	9
27	7
28	10
29	11
30	9
31	12
32	17
33	21
34	16
35	21
36	26
37	25
38	30
39	36
40	32
41	39
42	29
43	38
44	38
45	41
46	35
47	28
48	30
49	40
50	31
51	45
52	34
53	45
54	46
55	31
56	36
57	35
58	36
59	35
60	33
61	36
62	47
63	43
64	30
65	22
66	40
67	33
68	33
69	37
70	41
71	33
72	38
73	36
74	28
75	30
76	35
77	30
78	42
79	39
80	36
81	44
82	35
83	28
84	36
85	35
86	38
87	38
88	40
89	46
90	33
91	32
92	33
93	39
94	38
95	30
96	48
97	59
98	61
99	57
100	64
101	49
102	56
103	65
104	87
105	63
106	67
107	80
108	78
109	89
110	91
111	109
112	127
113	129
114	152
115	148
116	227
117	249
118	287
119	414
120	522
121	675
122	815
123	994
124	1236
125	1440
126	1667
127	1849
128	1839
129	1811
130	1765
131	1594
132	1518
133	1303
134	1153
135	1042
136	892
137	757
138	645
139	583
140	488
141	447
142	394
143	362
144	329
145	296
146	235
147	209
148	149
149	119
150	104
151	86
152	100
153	55
154	51
155	45
156	34
157	32
158	38
159	27
160	23
161	21
162	19
163	14
164	14
165	17
166	19
167	6
168	11
169	12
170	12
171	5
172	6
173	4
174	5
175	5
176	15
177	8
178	8
179	6
180	8
181	6
182	6
183	8
184	5
185	7
186	10
187	5
188	6
189	11
190	9
191	7
192	11
193	10
194	6
195	7
196	7
197	7
198	4
199	5
200	8
201	8
202	2
203	4
204	1
205	8
206	3
207	3
208	4
209	4
210	2
211	2
212	5
213	5
214	7
215	1
216	2
217	3
218	3
219	3
220	2
221	1
222	0
223	1
224	1
225	0
226	2
227	2
228	1
229	2
230	1
231	4
232	4
233	4
234	1
235	2
236	3
237	2
238	5
239	1
240	4
241	2
242	1
243	0
244	1
245	1
246	0
247	3
248	3
249	4
250	0
251	1
252	2
253	0
254	0
255	0
256	0
257	1
258	2
259	0
260	1
261	1
262	1
263	0
264	1
265	0
266	0
267	0
268	0
269	1
270	1
271	0
272	0
273	3
274	0
275	0
276	0
277	1
278	1
279	0
280	0
281	0
282	0
283	1
284	1
285	0
286	0
287	1
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	1
301	0
302	0
303	3
304	1
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	1
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	1
322	0
323	0
324	0
325	0
326	0
327	0
328	1
329	0
330	1
331	0
332	1
333	0
334	0
335	0
336	1
337	0
338	1
339	0
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	0
348	1
349	0
350	0
351	2
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	1
364	0
365	1
366	0
367	0
368	1
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	1
417	1
418	0
419	0
420	0
421	0
422	0
423	1
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	1
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
