n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	3
15	35
16	84
17	139
18	167
19	112
20	99
21	89
22	100
23	95
24	82
25	78
26	89
27	75
28	80
29	99
30	96
31	92
32	91
33	116
34	125
35	116
36	111
37	125
38	160
39	185
40	181
41	196
42	212
43	237
44	245
45	257
46	248
47	245
48	261
49	264
50	284
51	295
52	328
53	299
54	299
55	350
56	356
57	382
58	359
59	377
60	416
61	431
62	418
63	447
64	454
65	514
66	469
67	520
68	535
69	581
70	575
71	638
72	665
73	656
74	664
75	730
76	703
77	708
78	752
79	856
80	872
81	908
82	923
83	983
84	983
85	1029
86	1128
87	1169
88	1228
89	1265
90	1358
91	1407
92	1523
93	1571
94	1614
95	1725
96	1805
97	1938
98	1886
99	2041
100	2035
101	2158
102	2156
103	2187
104	2226
105	2205
106	2211
107	2061
108	2042
109	2018
110	2018
111	1925
112	1906
113	1767
114	1679
115	1539
116	1581
117	1531
118	1446
119	1318
120	1282
121	1213
122	1131
123	1087
124	1042
125	991
126	964
127	926
128	844
129	748
130	738
131	733
132	661
133	678
134	615
135	590
136	628
137	585
138	516
139	467
140	469
141	468
142	419
143	488
144	424
145	377
146	394
147	372
148	383
149	362
150	319
151	306
152	311
153	282
154	290
155	262
156	275
157	267
158	241
159	247
160	212
161	230
162	196
163	222
164	197
165	191
166	183
167	190
168	173
169	174
170	173
171	144
172	123
173	161
174	151
175	150
176	127
177	117
178	124
179	130
180	121
181	104
182	106
183	109
184	114
185	100
186	109
187	107
188	92
189	78
190	77
191	88
192	61
193	76
194	82
195	85
196	77
197	67
198	67
199	61
200	65
201	76
202	64
203	59
204	61
205	62
206	54
207	52
208	56
209	59
210	51
211	49
212	43
213	45
214	40
215	38
216	49
217	45
218	35
219	34
220	36
221	41
222	40
223	42
224	34
225	38
226	30
227	29
228	33
229	36
230	30
231	32
232	28
233	25
234	26
235	20
236	30
237	25
238	30
239	31
240	23
241	24
242	22
243	19
244	13
245	21
246	20
247	21
248	28
249	14
250	23
251	22
252	15
253	24
254	11
255	15
256	14
257	15
258	13
259	18
260	12
261	13
262	16
263	16
264	21
265	18
266	8
267	12
268	13
269	15
270	16
271	23
272	16
273	14
274	5
275	14
276	16
277	11
278	9
279	3
280	8
281	16
282	8
283	11
284	11
285	14
286	6
287	12
288	8
289	8
290	11
291	7
292	16
293	12
294	9
295	6
296	7
297	2
298	13
299	14
300	9
301	6
302	8
303	6
304	12
305	5
306	6
307	4
308	6
309	6
310	11
311	3
312	6
313	8
314	7
315	5
316	4
317	8
318	6
319	3
320	5
321	3
322	3
323	3
324	7
325	4
326	6
327	2
328	4
329	8
330	6
331	2
332	7
333	5
334	8
335	4
336	5
337	3
338	1
339	3
340	7
341	8
342	3
343	4
344	5
345	4
346	4
347	4
348	3
349	0
350	4
351	4
352	5
353	5
354	2
355	7
356	1
357	4
358	5
359	1
360	3
361	1
362	2
363	9
364	4
365	3
366	4
367	0
368	4
369	5
370	1
371	7
372	1
373	0
374	4
375	1
376	1
377	3
378	0
379	4
380	4
381	2
382	2
383	1
384	1
385	2
386	3
387	2
388	0
389	2
390	5
391	2
392	3
393	0
394	2
395	4
396	1
397	3
398	2
399	1
400	0
401	1
402	1
403	2
404	1
405	1
406	2
407	2
408	2
409	1
410	1
411	1
412	2
413	0
414	1
415	1
416	1
417	0
418	1
419	5
420	1
421	1
422	0
423	3
424	2
425	1
426	1
427	0
428	2
429	1
430	0
431	0
432	1
433	2
434	1
435	1
436	2
437	0
438	5
439	1
440	1
441	0
442	2
443	0
444	3
445	0
446	0
447	0
448	2
449	1
450	1
451	1
452	2
453	0
454	1
455	2
456	0
457	1
458	0
459	1
460	0
461	1
462	0
463	0
464	2
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	1
473	1
474	0
475	0
476	0
477	0
478	0
479	0
480	1
481	0
482	0
483	1
484	1
485	0
486	2
487	0
488	0
489	0
490	1
491	1
492	0
493	0
494	1
495	0
496	0
497	0
498	1
499	1
500	0
501	2
502	0
503	1
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	5
