n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	0
19	1
20	0
21	1
22	0
23	1
24	1
25	2
26	3
27	1
28	3
29	3
30	3
31	3
32	2
33	8
34	11
35	4
36	11
37	18
38	11
39	20
40	23
41	26
42	25
43	18
44	26
45	26
46	31
47	25
48	26
49	19
50	37
51	29
52	18
53	39
54	31
55	21
56	35
57	28
58	25
59	27
60	31
61	31
62	30
63	37
64	35
65	36
66	37
67	40
68	50
69	31
70	46
71	61
72	44
73	42
74	66
75	55
76	78
77	61
78	50
79	52
80	65
81	48
82	65
83	59
84	58
85	56
86	65
87	72
88	63
89	80
90	73
91	86
92	111
93	134
94	219
95	330
96	575
97	961
98	1522
99	2427
100	3160
101	4197
102	4984
103	5432
104	5436
105	4988
106	4342
107	3784
108	3328
109	2682
110	2240
111	2041
112	1715
113	1458
114	1171
115	972
116	789
117	627
118	496
119	381
120	325
121	226
122	158
123	99
124	116
125	85
126	84
127	72
128	80
129	100
130	168
131	228
132	296
133	395
134	506
135	578
136	631
137	620
138	601
139	485
140	402
141	340
142	223
143	226
144	151
145	109
146	100
147	105
148	112
149	105
150	123
151	99
152	112
153	94
154	89
155	84
156	79
157	64
158	47
159	45
160	36
161	29
162	33
163	32
164	18
165	26
166	25
167	12
168	15
169	16
170	9
171	16
172	12
173	12
174	8
175	13
176	13
177	15
178	10
179	14
180	13
181	11
182	10
183	15
184	24
185	26
186	14
187	16
188	18
189	22
190	12
191	18
192	15
193	18
194	20
195	14
196	18
197	10
198	14
199	16
200	8
201	3
202	7
203	6
204	5
205	14
206	6
207	3
208	5
209	2
210	4
211	2
212	0
213	2
214	6
215	4
216	6
217	8
218	1
219	4
220	2
221	2
222	5
223	4
224	1
225	4
226	5
227	6
228	2
229	3
230	5
231	3
232	2
233	1
234	1
235	1
236	3
237	3
238	3
239	1
240	0
241	0
242	1
243	1
244	1
245	0
246	0
247	1
248	0
249	1
250	0
251	0
252	0
253	2
254	0
255	0
256	1
257	0
258	2
259	2
260	2
261	1
262	0
263	2
264	1
265	1
266	0
267	0
268	0
269	3
270	1
271	0
272	0
273	0
274	1
275	1
276	1
277	2
278	1
279	0
280	1
281	2
282	1
283	0
284	0
285	0
286	0
287	0
288	1
289	0
290	0
291	0
292	1
293	0
294	0
295	0
296	0
297	1
298	0
299	0
300	0
301	0
302	0
303	2
304	2
305	0
306	0
307	0
308	0
309	0
310	0
311	1
312	0
313	2
314	0
315	0
316	0
317	0
318	2
319	1
320	0
321	0
322	1
323	0
324	0
325	0
326	0
327	1
328	1
329	0
330	0
331	1
332	1
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	1
342	0
343	1
344	0
345	0
346	0
347	0
348	0
349	1
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	2
361	0
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	1
379	0
380	0
381	0
382	1
383	1
384	0
385	0
386	1
387	1
388	0
389	0
390	0
391	2
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	1
400	1
401	1
402	0
403	0
404	0
405	0
406	2
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	1
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	1
450	1
451	0
452	1
453	0
454	0
455	0
456	0
457	0
458	0
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	0
481	1
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
