n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	2
16	8
17	14
18	16
19	12
20	5
21	8
22	19
23	16
24	15
25	14
26	15
27	24
28	25
29	31
30	22
31	21
32	30
33	34
34	24
35	41
36	44
37	46
38	53
39	49
40	48
41	56
42	60
43	60
44	67
45	61
46	70
47	63
48	76
49	78
50	69
51	75
52	62
53	71
54	73
55	69
56	92
57	78
58	92
59	92
60	82
61	94
62	85
63	97
64	102
65	119
66	123
67	122
68	101
69	103
70	119
71	112
72	123
73	146
74	144
75	143
76	127
77	150
78	137
79	155
80	139
81	171
82	162
83	162
84	162
85	191
86	228
87	180
88	261
89	276
90	310
91	360
92	468
93	529
94	654
95	870
96	1054
97	1369
98	1681
99	1952
100	2486
101	2776
102	3136
103	3408
104	3383
105	3396
106	3295
107	3000
108	2731
109	2483
110	2188
111	1929
112	1780
113	1502
114	1231
115	1054
116	940
117	793
118	712
119	526
120	506
121	407
122	334
123	296
124	268
125	248
126	227
127	207
128	257
129	248
130	246
131	267
132	329
133	382
134	388
135	425
136	431
137	437
138	402
139	402
140	393
141	296
142	251
143	235
144	191
145	178
146	128
147	123
148	132
149	115
150	109
151	115
152	118
153	102
154	84
155	71
156	84
157	75
158	69
159	78
160	54
161	40
162	37
163	36
164	31
165	37
166	24
167	34
168	28
169	28
170	20
171	28
172	20
173	23
174	24
175	23
176	16
177	22
178	21
179	27
180	17
181	21
182	19
183	16
184	27
185	22
186	26
187	15
188	19
189	31
190	17
191	13
192	21
193	16
194	19
195	14
196	21
197	21
198	18
199	11
200	13
201	13
202	7
203	19
204	8
205	10
206	7
207	14
208	7
209	9
210	11
211	9
212	4
213	9
214	5
215	3
216	3
217	10
218	5
219	3
220	7
221	3
222	4
223	7
224	4
225	5
226	5
227	8
228	8
229	6
230	6
231	6
232	5
233	7
234	3
235	3
236	5
237	1
238	4
239	3
240	2
241	5
242	1
243	3
244	8
245	6
246	9
247	5
248	5
249	4
250	4
251	4
252	4
253	2
254	4
255	3
256	5
257	1
258	4
259	4
260	3
261	2
262	2
263	3
264	5
265	1
266	2
267	5
268	3
269	3
270	8
271	5
272	3
273	6
274	1
275	1
276	2
277	2
278	3
279	2
280	2
281	7
282	1
283	4
284	0
285	2
286	5
287	2
288	3
289	4
290	1
291	4
292	4
293	6
294	6
295	2
296	3
297	1
298	2
299	3
300	7
301	2
302	5
303	2
304	2
305	6
306	3
307	3
308	2
309	2
310	1
311	4
312	6
313	5
314	5
315	5
316	1
317	2
318	3
319	1
320	4
321	5
322	2
323	4
324	4
325	3
326	3
327	3
328	1
329	3
330	2
331	0
332	1
333	3
334	3
335	5
336	2
337	2
338	3
339	1
340	5
341	4
342	2
343	3
344	4
345	1
346	3
347	3
348	1
349	0
350	2
351	6
352	5
353	4
354	2
355	2
356	0
357	3
358	1
359	0
360	1
361	2
362	0
363	1
364	3
365	2
366	5
367	2
368	1
369	1
370	3
371	5
372	4
373	2
374	0
375	2
376	1
377	4
378	0
379	2
380	0
381	2
382	2
383	5
384	1
385	2
386	1
387	6
388	5
389	7
390	2
391	4
392	1
393	2
394	2
395	4
396	7
397	1
398	1
399	3
400	6
401	4
402	6
403	5
404	4
405	1
406	2
407	5
408	0
409	7
410	0
411	1
412	2
413	4
414	6
415	7
416	5
417	3
418	3
419	5
420	5
421	4
422	5
423	4
424	3
425	4
426	2
427	2
428	2
429	6
430	2
431	1
432	4
433	0
434	1
435	0
436	1
437	2
438	1
439	3
440	0
441	6
442	2
443	3
444	3
445	2
446	0
447	7
448	0
449	7
450	0
451	3
452	1
453	2
454	1
455	1
456	1
457	0
458	2
459	1
460	3
461	0
462	1
463	1
464	2
465	1
466	1
467	3
468	1
469	3
470	5
471	0
472	0
473	2
474	3
475	1
476	1
477	2
478	4
479	0
480	2
481	1
482	2
483	1
484	1
485	2
486	2
487	2
488	2
489	5
490	6
491	2
492	2
493	2
494	0
495	3
496	2
497	0
498	3
499	2
500	3
501	3
502	4
503	5
504	0
505	3
506	2
507	3
508	3
509	3
510	2
511	35
