n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	31
16	82
17	166
18	197
19	197
20	195
21	170
22	206
23	171
24	168
25	180
26	155
27	151
28	151
29	159
30	169
31	153
32	164
33	155
34	181
35	171
36	206
37	203
38	198
39	232
40	211
41	216
42	240
43	260
44	287
45	300
46	315
47	308
48	332
49	342
50	344
51	351
52	396
53	368
54	406
55	417
56	394
57	471
58	446
59	527
60	511
61	597
62	560
63	589
64	634
65	673
66	664
67	670
68	700
69	811
70	791
71	852
72	891
73	870
74	931
75	972
76	1018
77	990
78	1016
79	1085
80	1135
81	1152
82	1183
83	1182
84	1237
85	1264
86	1316
87	1339
88	1334
89	1394
90	1375
91	1395
92	1357
93	1466
94	1493
95	1413
96	1494
97	1518
98	1545
99	1489
100	1547
101	1519
102	1523
103	1532
104	1548
105	1456
106	1441
107	1416
108	1532
109	1455
110	1434
111	1466
112	1472
113	1410
114	1274
115	1294
116	1354
117	1241
118	1319
119	1264
120	1201
121	1240
122	1215
123	1226
124	1133
125	1124
126	1156
127	1142
128	1029
129	1018
130	1047
131	985
132	938
133	922
134	965
135	968
136	912
137	842
138	869
139	881
140	817
141	812
142	729
143	762
144	730
145	721
146	710
147	646
148	651
149	666
150	649
151	641
152	586
153	586
154	551
155	543
156	557
157	552
158	553
159	547
160	520
161	533
162	492
163	480
164	463
165	420
166	420
167	421
168	447
169	393
170	426
171	385
172	375
173	356
174	384
175	319
176	337
177	324
178	335
179	348
180	309
181	310
182	316
183	318
184	296
185	294
186	248
187	262
188	257
189	269
190	265
191	244
192	247
193	251
194	238
195	248
196	233
197	225
198	243
199	233
200	243
201	224
202	192
203	213
204	220
205	199
206	201
207	240
208	152
209	191
210	181
211	189
212	182
213	155
214	144
215	157
216	162
217	160
218	152
219	128
220	148
221	129
222	134
223	152
224	125
225	138
226	131
227	114
228	129
229	131
230	135
231	120
232	114
233	142
234	112
235	117
236	113
237	106
238	115
239	99
240	114
241	103
242	104
243	97
244	86
245	97
246	79
247	104
248	81
249	76
250	88
251	97
252	80
253	87
254	51
255	82
256	77
257	96
258	68
259	83
260	64
261	67
262	51
263	73
264	73
265	70
266	59
267	67
268	50
269	64
270	63
271	57
272	47
273	67
274	58
275	63
276	60
277	52
278	56
279	53
280	62
281	46
282	48
283	56
284	40
285	51
286	58
287	40
288	51
289	34
290	35
291	45
292	44
293	36
294	32
295	54
296	52
297	49
298	39
299	42
300	41
301	37
302	42
303	36
304	28
305	32
306	38
307	35
308	27
309	33
310	30
311	29
312	35
313	28
314	33
315	37
316	31
317	22
318	24
319	35
320	25
321	30
322	27
323	26
324	24
325	16
326	23
327	35
328	27
329	16
330	21
331	24
332	25
333	27
334	22
335	22
336	27
337	28
338	14
339	25
340	27
341	22
342	19
343	11
344	17
345	25
346	18
347	31
348	18
349	18
350	6
351	18
352	13
353	16
354	11
355	17
356	17
357	18
358	14
359	13
360	10
361	22
362	11
363	11
364	17
365	17
366	14
367	20
368	18
369	20
370	16
371	14
372	12
373	12
374	12
375	23
376	8
377	13
378	14
379	10
380	8
381	6
382	17
383	21
384	7
385	8
386	14
387	8
388	13
389	12
390	9
391	13
392	11
393	11
394	9
395	9
396	12
397	6
398	9
399	7
400	7
401	11
402	10
403	7
404	11
405	9
406	8
407	7
408	11
409	12
410	9
411	10
412	10
413	3
414	7
415	9
416	7
417	1
418	5
419	7
420	3
421	10
422	6
423	6
424	5
425	5
426	5
427	8
428	8
429	6
430	8
431	4
432	7
433	7
434	2
435	8
436	2
437	7
438	7
439	4
440	9
441	2
442	11
443	3
444	3
445	7
446	2
447	7
448	2
449	5
450	2
451	1
452	8
453	6
454	8
455	1
456	4
457	1
458	2
459	6
460	4
461	5
462	2
463	4
464	5
465	3
466	3
467	3
468	2
469	5
470	2
471	1
472	1
473	3
474	3
475	1
476	6
477	4
478	6
479	4
480	5
481	4
482	5
483	5
484	3
485	3
486	6
487	0
488	4
489	1
490	3
491	1
492	1
493	2
494	2
495	0
496	0
497	6
498	2
499	1
500	3
501	5
502	2
503	5
504	4
505	4
506	3
507	2
508	1
509	2
510	3
511	22
