n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	8
17	8
18	5
19	7
20	6
21	5
22	17
23	15
24	12
25	14
26	14
27	21
28	18
29	26
30	24
31	24
32	30
33	29
34	31
35	38
36	39
37	43
38	45
39	41
40	55
41	42
42	37
43	37
44	59
45	40
46	47
47	57
48	54
49	46
50	49
51	77
52	74
53	45
54	64
55	57
56	55
57	53
58	66
59	50
60	71
61	56
62	62
63	60
64	61
65	64
66	63
67	65
68	73
69	62
70	63
71	91
72	59
73	49
74	64
75	71
76	80
77	73
78	72
79	77
80	72
81	73
82	72
83	68
84	80
85	90
86	81
87	91
88	83
89	83
90	93
91	81
92	109
93	113
94	97
95	126
96	137
97	145
98	149
99	154
100	158
101	185
102	198
103	204
104	216
105	220
106	251
107	297
108	383
109	430
110	473
111	600
112	816
113	958
114	1146
115	1429
116	1574
117	1857
118	1916
119	2211
120	2268
121	2118
122	2109
123	1897
124	1755
125	1627
126	1436
127	1297
128	1083
129	921
130	920
131	766
132	712
133	581
134	530
135	454
136	435
137	362
138	317
139	263
140	224
141	182
142	166
143	134
144	129
145	97
146	105
147	85
148	70
149	62
150	58
151	49
152	45
153	47
154	36
155	47
156	45
157	33
158	34
159	27
160	33
161	30
162	31
163	36
164	31
165	25
166	13
167	27
168	22
169	18
170	27
171	17
172	21
173	23
174	19
175	21
176	22
177	21
178	20
179	23
180	25
181	22
182	24
183	21
184	19
185	14
186	14
187	8
188	8
189	14
190	13
191	15
192	16
193	15
194	5
195	13
196	16
197	9
198	12
199	12
200	11
201	9
202	15
203	16
204	5
205	11
206	7
207	12
208	7
209	5
210	12
211	6
212	5
213	14
214	8
215	11
216	10
217	11
218	8
219	1
220	9
221	4
222	4
223	10
224	6
225	8
226	4
227	9
228	7
229	5
230	5
231	4
232	7
233	4
234	3
235	7
236	7
237	3
238	4
239	5
240	5
241	4
242	7
243	4
244	2
245	2
246	4
247	7
248	2
249	2
250	6
251	1
252	3
253	2
254	1
255	2
256	3
257	4
258	0
259	2
260	2
261	7
262	1
263	2
264	2
265	3
266	4
267	4
268	4
269	1
270	1
271	0
272	1
273	1
274	2
275	0
276	2
277	3
278	4
279	1
280	3
281	1
282	5
283	0
284	2
285	0
286	0
287	0
288	0
289	2
290	2
291	1
292	0
293	1
294	1
295	2
296	2
297	0
298	1
299	0
300	0
301	2
302	0
303	0
304	1
305	0
306	1
307	1
308	3
309	0
310	1
311	0
312	0
313	0
314	1
315	0
316	0
317	1
318	1
319	0
320	1
321	0
322	1
323	0
324	3
325	3
326	1
327	1
328	1
329	0
330	1
331	0
332	0
333	1
334	0
335	0
336	1
337	0
338	0
339	2
340	0
341	1
342	0
343	1
344	0
345	0
346	1
347	0
348	0
349	0
350	0
351	0
352	1
353	0
354	1
355	0
356	0
357	0
358	0
359	0
360	0
361	1
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	1
372	0
373	0
374	0
375	0
376	0
377	1
378	0
379	0
380	0
381	0
382	0
383	1
384	1
385	0
386	0
387	0
388	0
389	0
390	0
391	1
392	0
393	1
394	0
395	1
396	0
397	0
398	0
399	0
400	1
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	1
410	1
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	1
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
