n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	2
16	7
17	16
18	25
19	21
20	8
21	11
22	15
23	14
24	10
25	13
26	19
27	7
28	15
29	20
30	18
31	20
32	19
33	14
34	22
35	28
36	30
37	29
38	23
39	33
40	46
41	41
42	47
43	44
44	54
45	46
46	56
47	68
48	65
49	70
50	67
51	91
52	77
53	88
54	92
55	100
56	100
57	108
58	97
59	97
60	111
61	122
62	107
63	124
64	133
65	141
66	120
67	142
68	153
69	137
70	171
71	139
72	151
73	134
74	174
75	156
76	172
77	168
78	163
79	178
80	168
81	173
82	179
83	165
84	177
85	163
86	169
87	175
88	176
89	163
90	149
91	180
92	169
93	151
94	166
95	167
96	179
97	163
98	118
99	134
100	140
101	134
102	145
103	142
104	128
105	151
106	130
107	133
108	126
109	143
110	139
111	125
112	122
113	123
114	117
115	108
116	94
117	107
118	119
119	112
120	119
121	113
122	99
123	105
124	142
125	145
126	117
127	120
128	124
129	121
130	113
131	123
132	136
133	107
134	101
135	115
136	110
137	132
138	97
139	94
140	99
141	101
142	98
143	105
144	99
145	101
146	104
147	119
148	111
149	108
150	118
151	109
152	109
153	126
154	124
155	126
156	147
157	149
158	152
159	130
160	164
161	163
162	165
163	184
164	163
165	161
166	163
167	149
168	172
169	168
170	134
171	160
172	135
173	119
174	115
175	117
176	121
177	111
178	99
179	86
180	92
181	112
182	129
183	89
184	99
185	116
186	104
187	95
188	109
189	104
190	93
191	112
192	116
193	118
194	104
195	125
196	98
197	85
198	120
199	97
200	99
201	96
202	81
203	89
204	59
205	71
206	48
207	61
208	50
209	55
210	52
211	30
212	37
213	39
214	42
215	48
216	26
217	36
218	32
219	26
220	26
221	33
222	24
223	30
224	25
225	26
226	29
227	26
228	22
229	20
230	27
231	15
232	28
233	27
234	23
235	9
236	19
237	9
238	12
239	10
240	9
241	11
242	5
243	13
244	14
245	9
246	16
247	6
248	7
249	4
250	7
251	6
252	8
253	10
254	10
255	9
256	12
257	5
258	8
259	10
260	6
261	8
262	3
263	5
264	3
265	5
266	0
267	2
268	1
269	8
270	6
271	6
272	3
273	6
274	5
275	4
276	2
277	4
278	2
279	2
280	4
281	2
282	3
283	2
284	4
285	2
286	1
287	4
288	4
289	4
290	1
291	7
292	0
293	2
294	4
295	1
296	4
297	4
298	2
299	1
300	1
301	2
302	3
303	2
304	2
305	4
306	2
307	3
308	1
309	3
310	1
311	0
312	2
313	1
314	2
315	2
316	1
317	1
318	2
319	2
320	0
321	2
322	2
323	1
324	3
325	0
326	1
327	0
328	1
329	3
330	1
331	2
332	2
333	2
334	1
335	1
336	1
337	1
338	0
339	2
340	1
341	1
342	0
343	0
344	1
345	1
346	0
347	2
348	1
349	0
350	1
351	0
352	0
353	0
354	4
355	0
356	0
357	0
358	0
359	2
360	1
361	0
362	1
363	1
364	1
365	1
366	0
367	2
368	2
369	2
370	2
371	1
372	0
373	2
374	1
375	2
376	0
377	2
378	0
379	0
380	0
381	0
382	2
383	0
384	3
385	0
386	0
387	0
388	0
389	0
390	1
391	1
392	0
393	0
394	0
395	1
396	1
397	1
398	0
399	0
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	1
410	0
411	1
412	1
413	2
414	0
415	1
416	0
417	0
418	1
419	0
420	1
421	1
422	1
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	1
435	0
436	1
437	0
438	0
439	0
440	0
441	0
442	0
443	1
444	0
445	0
446	0
447	0
448	0
449	1
450	1
451	0
452	2
453	0
454	0
455	0
456	0
457	0
458	1
459	0
460	0
461	0
462	0
463	2
464	0
465	1
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	2
476	1
477	0
478	0
479	0
480	0
481	1
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	1
499	0
500	1
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
