n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	3
16	1
17	6
18	5
19	3
20	7
21	9
22	16
23	10
24	18
25	22
26	13
27	24
28	24
29	28
30	24
31	33
32	50
33	44
34	42
35	39
36	37
37	37
38	44
39	38
40	50
41	52
42	50
43	43
44	40
45	35
46	48
47	48
48	58
49	50
50	63
51	56
52	57
53	86
54	95
55	98
56	105
57	125
58	129
59	135
60	121
61	148
62	147
63	136
64	133
65	122
66	117
67	96
68	102
69	77
70	63
71	97
72	58
73	51
74	56
75	50
76	33
77	36
78	15
79	25
80	26
81	16
82	20
83	16
84	15
85	22
86	16
87	22
88	18
89	13
90	9
91	15
92	15
93	16
94	12
95	15
96	13
97	12
98	7
99	12
100	10
101	10
102	8
103	14
104	12
105	15
106	9
107	10
108	11
109	15
110	9
111	9
112	12
113	16
114	6
115	12
116	13
117	15
118	14
119	13
120	9
121	23
122	15
123	28
124	35
125	32
126	31
127	40
128	42
129	50
130	38
131	41
132	38
133	38
134	24
135	25
136	21
137	19
138	14
139	13
140	17
141	18
142	8
143	14
144	17
145	9
146	10
147	8
148	10
149	4
150	8
151	8
152	7
153	5
154	8
155	7
156	3
157	6
158	2
159	7
160	2
161	2
162	7
163	4
164	5
165	5
166	7
167	2
168	7
169	7
170	2
171	4
172	3
173	0
174	7
175	8
176	2
177	3
178	0
179	2
180	5
181	5
182	5
183	7
184	3
185	8
186	3
187	0
188	4
189	2
190	2
191	4
192	2
193	1
194	4
195	3
196	0
197	3
198	5
199	3
200	0
201	4
202	7
203	6
204	0
205	2
206	2
207	1
208	6
209	3
210	6
211	2
212	4
213	2
214	2
215	4
216	4
217	4
218	4
219	2
220	1
221	0
222	2
223	3
224	4
225	0
226	3
227	0
228	3
229	4
230	4
231	2
232	1
233	1
234	4
235	0
236	1
237	4
238	3
239	1
240	1
241	1
242	0
243	2
244	1
245	3
246	1
247	2
248	0
249	2
250	3
251	1
252	0
253	0
254	2
255	0
256	1
257	0
258	0
259	3
260	2
261	1
262	4
263	2
264	0
265	2
266	2
267	2
268	1
269	2
270	3
271	3
272	3
273	2
274	1
275	5
276	3
277	0
278	3
279	0
280	0
281	1
282	2
283	3
284	1
285	1
286	0
287	2
288	0
289	0
290	1
291	1
292	2
293	1
294	3
295	1
296	0
297	1
298	1
299	1
300	0
301	0
302	0
303	2
304	1
305	0
306	0
307	1
308	2
309	2
310	2
311	0
312	1
313	1
314	2
315	0
316	3
317	2
318	1
319	2
320	4
321	1
322	2
323	2
324	0
325	1
326	1
327	1
328	2
329	1
330	2
331	1
332	1
333	2
334	5
335	2
336	2
337	1
338	0
339	4
340	1
341	3
342	2
343	3
344	3
345	0
346	3
347	1
348	1
349	2
350	2
351	0
352	0
353	5
354	3
355	1
356	0
357	4
358	2
359	1
360	5
361	10
362	10
363	15
364	23
365	21
366	26
367	37
368	37
369	30
370	31
371	42
372	31
373	46
374	22
375	22
376	11
377	18
378	14
379	13
380	4
381	3
382	5
383	2
384	3
385	2
386	1
387	0
388	1
389	0
390	0
391	2
392	1
393	1
394	1
395	2
396	3
397	0
398	0
399	0
400	1
401	2
402	1
403	0
404	0
405	0
406	1
407	1
408	1
409	0
410	5
411	5
412	5
413	5
414	4
415	6
416	9
417	8
418	3
419	5
420	5
421	2
422	0
423	4
424	0
425	0
426	1
427	2
428	1
429	0
430	1
431	0
432	0
433	0
434	0
435	0
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	1
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
