n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	3
16	7
17	8
18	16
19	5
20	21
21	23
22	14
23	27
24	18
25	24
26	28
27	27
28	28
29	30
30	36
31	40
32	44
33	46
34	43
35	43
36	47
37	65
38	59
39	72
40	79
41	81
42	88
43	83
44	96
45	119
46	104
47	137
48	121
49	123
50	142
51	153
52	161
53	153
54	192
55	165
56	226
57	224
58	211
59	243
60	262
61	267
62	331
63	339
64	401
65	445
66	442
67	549
68	582
69	648
70	700
71	878
72	978
73	983
74	1045
75	1080
76	1121
77	1126
78	1086
79	1134
80	1055
81	1064
82	971
83	895
84	831
85	837
86	686
87	675
88	644
89	615
90	547
91	482
92	476
93	404
94	407
95	344
96	375
97	354
98	316
99	312
100	277
101	283
102	268
103	233
104	249
105	226
106	206
107	219
108	197
109	198
110	181
111	191
112	186
113	161
114	170
115	164
116	129
117	165
118	152
119	139
120	111
121	122
122	118
123	121
124	116
125	118
126	125
127	99
128	91
129	107
130	109
131	117
132	102
133	91
134	85
135	84
136	80
137	76
138	78
139	60
140	59
141	51
142	67
143	69
144	71
145	57
146	68
147	47
148	66
149	44
150	48
151	39
152	51
153	44
154	36
155	35
156	38
157	35
158	34
159	43
160	42
161	22
162	36
163	33
164	25
165	32
166	24
167	28
168	26
169	27
170	17
171	26
172	26
173	16
174	16
175	28
176	20
177	27
178	24
179	19
180	24
181	16
182	14
183	23
184	23
185	22
186	23
187	11
188	20
189	15
190	11
191	13
192	13
193	12
194	8
195	12
196	12
197	11
198	19
199	9
200	10
201	12
202	11
203	13
204	11
205	17
206	15
207	12
208	16
209	17
210	15
211	10
212	18
213	17
214	13
215	14
216	11
217	14
218	7
219	17
220	10
221	14
222	15
223	14
224	12
225	3
226	6
227	7
228	9
229	9
230	6
231	3
232	8
233	5
234	2
235	5
236	2
237	3
238	4
239	5
240	4
241	8
242	3
243	5
244	1
245	5
246	3
247	2
248	4
249	2
250	4
251	2
252	5
253	2
254	5
255	3
256	2
257	0
258	2
259	2
260	0
261	6
262	2
263	5
264	1
265	5
266	2
267	5
268	1
269	5
270	5
271	1
272	7
273	1
274	0
275	3
276	4
277	2
278	4
279	1
280	4
281	8
282	5
283	2
284	3
285	2
286	5
287	2
288	1
289	2
290	5
291	1
292	2
293	2
294	2
295	3
296	4
297	5
298	3
299	2
300	5
301	4
302	2
303	1
304	1
305	1
306	3
307	5
308	4
309	4
310	2
311	2
312	1
313	5
314	5
315	3
316	0
317	0
318	2
319	4
320	2
321	0
322	8
323	1
324	4
325	2
326	1
327	1
328	1
329	2
330	2
331	1
332	3
333	3
334	0
335	1
336	1
337	1
338	2
339	2
340	0
341	1
342	0
343	0
344	1
345	0
346	0
347	0
348	0
349	1
350	1
351	1
352	0
353	2
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	3
362	2
363	0
364	1
365	2
366	2
367	3
368	0
369	1
370	1
371	1
372	2
373	2
374	0
375	1
376	1
377	1
378	0
379	1
380	1
381	0
382	1
383	0
384	0
385	1
386	0
387	1
388	1
389	0
390	0
391	3
392	1
393	1
394	0
395	1
396	0
397	1
398	0
399	0
400	1
401	1
402	1
403	0
404	1
405	0
406	0
407	1
408	0
409	0
410	1
411	1
412	1
413	0
414	1
415	0
416	0
417	0
418	2
419	1
420	0
421	0
422	0
423	2
424	0
425	0
426	0
427	0
428	0
429	1
430	0
431	0
432	0
433	1
434	0
435	0
436	1
437	0
438	0
439	0
440	0
441	0
442	1
443	1
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	1
456	0
457	0
458	0
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	1
471	0
472	0
473	0
474	0
475	1
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	1
486	0
487	1
488	0
489	1
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	1
503	0
504	1
505	0
506	0
507	1
508	0
509	0
510	0
511	3
