n_2	N_2	n_1	N_1
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	0	12	0
13	0	13	0
14	0	14	0
15	0	15	0
16	0	16	0
17	2	17	1
18	0	18	3
19	1	19	0
20	0	20	0
21	0	21	0
22	1	22	0
23	0	23	0
24	0	24	0
25	3	25	1
26	1	26	0
27	4	27	0
28	1	28	0
29	4	29	1
30	3	30	2
31	4	31	2
32	3	32	1
33	8	33	5
34	9	34	4
35	5	35	1
36	8	36	5
37	10	37	8
38	23	38	3
39	16	39	5
40	23	40	5
41	21	41	12
42	26	42	9
43	22	43	7
44	18	44	10
45	27	45	14
46	27	46	7
47	21	47	6
48	37	48	14
49	19	49	14
50	35	50	6
51	26	51	11
52	27	52	7
53	32	53	9
54	27	54	4
55	28	55	10
56	33	56	10
57	48	57	9
58	27	58	5
59	30	59	13
60	31	60	11
61	40	61	10
62	29	62	9
63	37	63	5
64	30	64	15
65	37	65	19
66	47	66	19
67	42	67	10
68	42	68	10
69	23	69	10
70	45	70	14
71	61	71	15
72	51	72	15
73	51	73	10
74	47	74	11
75	50	75	16
76	60	76	13
77	69	77	12
78	85	78	20
79	96	79	15
80	117	80	12
81	149	81	8
82	228	82	10
83	313	83	15
84	497	84	14
85	623	85	16
86	769	86	11
87	934	87	20
88	1002	88	11
89	1070	89	19
90	1024	90	12
91	954	91	11
92	899	92	12
93	870	93	21
94	836	94	18
95	848	95	23
96	961	96	18
97	1192	97	22
98	1475	98	22
99	1986	99	36
100	2563	100	25
101	3345	101	37
102	3948	102	40
103	4152	103	34
104	4142	104	45
105	3977	105	35
106	3494	106	37
107	2938	107	41
108	2582	108	34
109	2150	109	42
110	1840	110	50
111	1631	111	43
112	1427	112	36
113	1103	113	47
114	966	114	65
115	781	115	58
116	661	116	62
117	545	117	68
118	505	118	100
119	386	119	142
120	331	120	175
121	285	121	310
122	196	122	450
123	161	123	586
124	142	124	884
125	108	125	1197
126	93	126	1422
127	86	127	1695
128	72	128	1647
129	64	129	1625
130	68	130	1619
131	68	131	1480
132	58	132	1428
133	53	133	1445
134	38	134	1397
135	25	135	1415
136	38	136	1415
137	25	137	1301
138	15	138	1262
139	22	139	1078
140	16	140	1011
141	14	141	820
142	20	142	691
143	13	143	541
144	16	144	433
145	21	145	360
146	18	146	267
147	18	147	211
148	26	148	123
149	31	149	115
150	33	150	106
151	25	151	76
152	25	152	67
153	30	153	61
154	41	154	50
155	35	155	40
156	26	156	27
157	39	157	18
158	37	158	14
159	16	159	11
160	27	160	7
161	20	161	4
162	27	162	6
163	26	163	5
164	16	164	3
165	16	165	5
166	16	166	1
167	15	167	2
168	10	168	3
169	14	169	3
170	13	170	1
171	12	171	3
172	14	172	2
173	7	173	1
174	10	174	1
175	5	175	6
176	7	176	3
177	6	177	1
178	5	178	5
179	6	179	0
180	10	180	2
181	8	181	4
182	12	182	2
183	8	183	2
184	8	184	6
185	3	185	4
186	3	186	1
187	9	187	1
188	11	188	11
189	9	189	4
190	6	190	2
191	5	191	6
192	7	192	3
193	4	193	8
194	9	194	8
195	9	195	4
196	6	196	10
197	3	197	6
198	6	198	5
199	5	199	2
200	10	200	7
201	6	201	7
202	1	202	9
203	6	203	7
204	3	204	9
205	2	205	7
206	2	206	3
207	2	207	3
208	5	208	1
209	3	209	4
210	1	210	3
211	1	211	4
212	3	212	3
213	1	213	0
214	3	214	2
215	1	215	4
216	1	216	3
217	2	217	5
218	1	218	4
219	3	219	1
220	1	220	2
221	0	221	3
222	1	222	1
223	1	223	2
224	5	224	4
225	0	225	1
226	0	226	2
227	0	227	2
228	4	228	1
229	0	229	1
230	2	230	3
231	1	231	2
232	0	232	2
233	0	233	4
234	4	234	3
235	0	235	2
236	1	236	4
237	0	237	0
238	1	238	2
239	1	239	2
240	1	240	2
241	1	241	1
242	0	242	1
243	2	243	0
244	0	244	1
245	0	245	0
246	1	246	2
247	0	247	2
248	1	248	2
249	0	249	4
250	2	250	3
251	0	251	1
252	1	252	1
253	1	253	1
254	0	254	0
255	1	255	2
256	0	256	1
257	1	257	1
258	0	258	0
259	3	259	2
260	0	260	1
261	2	261	1
262	4	262	0
263	4	263	2
264	0	264	3
265	1	265	2
266	0	266	0
267	2	267	0
268	0	268	2
269	0	269	1
270	0	270	1
271	0	271	0
272	1	272	0
273	2	273	1
274	0	274	2
275	1	275	1
276	0	276	0
277	2	277	0
278	0	278	0
279	0	279	0
280	0	280	0
281	1	281	1
282	0	282	0
283	1	283	1
284	0	284	0
285	0	285	0
286	2	286	0
287	0	287	1
288	0	288	0
289	0	289	0
290	0	290	0
291	0	291	0
292	0	292	0
293	0	293	0
294	1	294	0
295	0	295	0
296	0	296	1
297	0	297	0
298	0	298	0
299	0	299	0
300	0	300	1
301	0	301	0
302	0	302	0
303	0	303	1
304	0	304	0
305	0	305	0
306	0	306	2
307	1	307	1
308	1	308	0
309	0	309	0
310	0	310	0
311	0	311	0
312	0	312	0
313	0	313	0
314	1	314	0
315	1	315	0
316	0	316	0
317	0	317	0
318	1	318	0
319	0	319	0
320	2	320	0
321	1	321	0
322	2	322	0
323	0	323	0
324	0	324	0
325	1	325	0
326	0	326	0
327	0	327	1
328	0	328	0
329	1	329	0
330	0	330	0
331	1	331	0
332	0	332	1
333	0	333	0
334	0	334	1
335	0	335	0
336	0	336	1
337	1	337	0
338	2	338	1
339	0	339	1
340	0	340	0
341	0	341	0
342	0	342	1
343	0	343	0
344	0	344	1
345	1	345	0
346	0	346	0
347	0	347	1
348	0	348	0
349	1	349	0
350	0	350	0
351	1	351	0
352	0	352	0
353	1	353	0
354	2	354	1
355	0	355	1
356	0	356	0
357	0	357	0
358	0	358	2
359	0	359	0
360	0	360	0
361	0	361	1
362	0	362	0
363	0	363	0
364	1	364	0
365	0	365	0
366	1	366	0
367	0	367	0
368	0	368	0
369	0	369	0
370	0	370	0
371	1	371	0
372	0	372	0
373	0	373	0
374	1	374	0
375	0	375	0
376	0	376	0
377	0	377	1
378	1	378	0
379	0	379	0
380	0	380	0
381	0	381	0
382	0	382	0
383	0	383	0
384	0	384	0
385	0	385	0
386	0	386	0
387	0	387	0
388	0	388	1
389	0	389	1
390	0	390	0
391	1	391	0
392	0	392	0
393	1	393	1
394	0	394	0
395	0	395	0
396	0	396	0
397	0	397	0
398	0	398	0
399	0	399	0
400	0	400	0
401	0	401	0
402	0	402	0
403	0	403	0
404	0	404	0
405	0	405	0
406	0	406	0
407	0	407	0
408	0	408	0
409	1	409	1
410	1	410	0
411	0	411	0
412	0	412	0
413	0	413	0
414	0	414	0
415	0	415	0
416	0	416	0
417	0	417	0
418	0	418	0
419	0	419	0
420	1	420	0
421	0	421	0
422	0	422	0
423	0	423	0
424	0	424	0
425	0	425	0
426	0	426	0
427	0	427	0
428	0	428	0
429	0	429	1
430	0	430	0
431	0	431	0
432	0	432	0
433	0	433	0
434	0	434	0
435	0	435	0
436	0	436	1
437	0	437	0
438	0	438	0
439	0	439	0
440	0	440	1
441	0	441	0
442	0	442	0
443	0	443	1
444	0	444	1
445	0	445	0
446	0	446	0
447	0	447	0
448	0	448	0
449	0	449	0
450	0	450	0
451	0	451	0
452	0	452	0
453	0	453	0
454	0	454	0
455	0	455	0
456	0	456	0
457	0	457	0
458	0	458	0
459	0	459	0
460	1	460	0
461	0	461	0
462	0	462	0
463	0	463	0
464	0	464	0
465	0	465	0
466	1	466	0
467	0	467	0
468	0	468	0
469	0	469	0
470	1	470	0
471	0	471	0
472	0	472	0
473	0	473	0
474	0	474	0
475	0	475	0
476	0	476	0
477	0	477	0
478	0	478	0
479	0	479	0
480	0	480	0
481	0	481	1
482	0	482	0
483	0	483	0
484	0	484	0
485	0	485	0
486	0	486	0
487	0	487	0
488	0	488	0
489	0	489	0
490	0	490	0
491	0	491	0
492	0	492	0
493	0	493	0
494	0	494	0
495	0	495	0
496	0	496	0
497	0	497	0
498	0	498	0
499	0	499	0
500	0	500	0
501	0	501	0
502	0	502	0
503	0	503	0
504	0	504	0
505	0	505	0
506	0	506	0
507	0	507	0
508	0	508	0
509	0	509	0
510	0	510	0
511	0	511	0
