n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	1
17	1
18	1
19	1
20	1
21	0
22	2
23	0
24	1
25	1
26	1
27	2
28	3
29	4
30	1
31	3
32	3
33	3
34	5
35	4
36	6
37	12
38	10
39	4
40	4
41	10
42	9
43	8
44	6
45	7
46	12
47	9
48	17
49	17
50	16
51	14
52	19
53	19
54	20
55	15
56	19
57	15
58	18
59	19
60	17
61	18
62	27
63	38
64	24
65	32
66	39
67	33
68	33
69	39
70	33
71	58
72	59
73	58
74	58
75	56
76	55
77	53
78	43
79	45
80	39
81	41
82	59
83	48
84	42
85	38
86	32
87	40
88	35
89	41
90	33
91	34
92	39
93	26
94	33
95	40
96	38
97	29
98	22
99	39
100	31
101	47
102	24
103	37
104	35
105	44
106	45
107	43
108	39
109	35
110	59
111	48
112	60
113	52
114	60
115	81
116	88
117	97
118	120
119	111
120	137
121	168
122	160
123	195
124	213
125	239
126	248
127	268
128	247
129	226
130	220
131	228
132	205
133	216
134	190
135	193
136	178
137	175
138	122
139	111
140	101
141	102
142	113
143	77
144	78
145	75
146	78
147	57
148	43
149	44
150	52
151	45
152	34
153	35
154	34
155	23
156	27
157	32
158	32
159	25
160	23
161	22
162	25
163	21
164	19
165	31
166	22
167	26
168	18
169	18
170	26
171	18
172	16
173	18
174	19
175	22
176	18
177	19
178	27
179	33
180	29
181	27
182	33
183	34
184	29
185	34
186	33
187	24
188	27
189	34
190	29
191	16
192	22
193	21
194	16
195	16
196	14
197	12
198	16
199	13
200	13
201	17
202	25
203	10
204	10
205	13
206	8
207	11
208	14
209	16
210	15
211	18
212	14
213	18
214	10
215	11
216	11
217	9
218	9
219	13
220	12
221	8
222	9
223	7
224	6
225	3
226	9
227	12
228	8
229	9
230	9
231	9
232	13
233	12
234	6
235	6
236	9
237	6
238	7
239	4
240	1
241	5
242	9
243	5
244	12
245	8
246	8
247	14
248	7
249	6
250	2
251	10
252	9
253	11
254	7
255	2
256	4
257	7
258	6
259	4
260	3
261	9
262	3
263	6
264	3
265	4
266	8
267	3
268	3
269	6
270	7
271	6
272	5
273	3
274	5
275	3
276	6
277	11
278	1
279	4
280	3
281	4
282	4
283	7
284	3
285	7
286	3
287	2
288	5
289	4
290	3
291	4
292	2
293	4
294	3
295	4
296	6
297	1
298	1
299	8
300	2
301	4
302	1
303	6
304	3
305	6
306	3
307	4
308	2
309	3
310	4
311	3
312	1
313	7
314	5
315	2
316	1
317	2
318	1
319	1
320	7
321	2
322	4
323	5
324	5
325	4
326	1
327	3
328	6
329	1
330	4
331	1
332	2
333	2
334	2
335	4
336	2
337	1
338	0
339	2
340	4
341	2
342	3
343	2
344	1
345	1
346	2
347	1
348	1
349	1
350	3
351	2
352	4
353	2
354	3
355	2
356	3
357	1
358	2
359	3
360	2
361	1
362	0
363	0
364	0
365	1
366	1
367	2
368	3
369	3
370	1
371	3
372	2
373	2
374	0
375	3
376	2
377	2
378	1
379	2
380	1
381	4
382	0
383	5
384	2
385	0
386	0
387	0
388	0
389	1
390	2
391	1
392	1
393	0
394	1
395	1
396	0
397	3
398	0
399	0
400	3
401	1
402	0
403	3
404	0
405	0
406	0
407	0
408	1
409	0
410	1
411	1
412	1
413	1
414	1
415	0
416	0
417	2
418	1
419	2
420	1
421	1
422	1
423	0
424	1
425	1
426	0
427	0
428	1
429	0
430	0
431	0
432	2
433	1
434	0
435	0
436	0
437	1
438	1
439	0
440	1
441	0
442	0
443	0
444	1
445	1
446	0
447	0
448	0
449	0
450	0
451	0
452	1
453	0
454	0
455	0
456	1
457	0
458	1
459	1
460	0
461	0
462	1
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	1
473	0
474	0
475	0
476	1
477	0
478	1
479	0
480	0
481	0
482	0
483	1
484	0
485	0
486	0
487	0
488	0
489	1
490	0
491	0
492	1
493	0
494	0
495	0
496	2
497	0
498	0
499	0
500	0
501	1
502	1
503	1
504	0
505	1
506	0
507	0
508	0
509	0
510	0
511	1
