n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	5
16	19
17	23
18	40
19	25
20	27
21	25
22	37
23	27
24	42
25	44
26	42
27	46
28	45
29	48
30	39
31	51
32	69
33	56
34	47
35	84
36	105
37	82
38	102
39	117
40	111
41	137
42	125
43	137
44	159
45	179
46	138
47	161
48	155
49	189
50	191
51	193
52	194
53	205
54	201
55	210
56	232
57	262
58	240
59	245
60	281
61	270
62	271
63	298
64	279
65	280
66	273
67	304
68	310
69	315
70	296
71	313
72	350
73	313
74	329
75	309
76	311
77	317
78	329
79	315
80	282
81	324
82	287
83	304
84	299
85	305
86	299
87	287
88	265
89	296
90	279
91	266
92	260
93	248
94	266
95	240
96	234
97	215
98	234
99	225
100	218
101	203
102	190
103	206
104	201
105	210
106	205
107	174
108	199
109	200
110	180
111	175
112	189
113	201
114	187
115	187
116	190
117	198
118	181
119	231
120	190
121	217
122	213
123	211
124	205
125	231
126	246
127	279
128	262
129	276
130	307
131	298
132	330
133	349
134	339
135	324
136	312
137	300
138	282
139	256
140	281
141	217
142	228
143	229
144	235
145	196
146	229
147	212
148	215
149	221
150	227
151	253
152	246
153	235
154	226
155	207
156	224
157	191
158	182
159	163
160	183
161	151
162	141
163	109
164	103
165	105
166	93
167	82
168	92
169	81
170	76
171	83
172	63
173	72
174	75
175	49
176	71
177	55
178	61
179	59
180	65
181	66
182	43
183	40
184	53
185	48
186	43
187	51
188	35
189	47
190	31
191	43
192	36
193	34
194	31
195	44
196	33
197	28
198	36
199	32
200	29
201	19
202	31
203	25
204	30
205	24
206	24
207	25
208	28
209	27
210	22
211	22
212	18
213	19
214	13
215	12
216	10
217	21
218	19
219	15
220	20
221	14
222	20
223	16
224	17
225	14
226	13
227	19
228	19
229	19
230	15
231	15
232	20
233	20
234	18
235	17
236	13
237	20
238	14
239	17
240	15
241	8
242	21
243	10
244	12
245	14
246	17
247	14
248	14
249	8
250	11
251	16
252	20
253	17
254	9
255	17
256	16
257	10
258	13
259	11
260	16
261	8
262	10
263	12
264	9
265	16
266	14
267	14
268	10
269	16
270	10
271	15
272	15
273	14
274	19
275	15
276	9
277	11
278	17
279	12
280	15
281	15
282	9
283	18
284	12
285	11
286	7
287	12
288	12
289	14
290	16
291	11
292	7
293	10
294	10
295	18
296	6
297	5
298	8
299	13
300	12
301	7
302	10
303	8
304	6
305	9
306	14
307	13
308	9
309	10
310	10
311	19
312	10
313	8
314	10
315	11
316	10
317	9
318	6
319	9
320	10
321	10
322	8
323	12
324	9
325	7
326	11
327	8
328	7
329	10
330	9
331	10
332	12
333	8
334	7
335	10
336	11
337	7
338	4
339	9
340	4
341	3
342	3
343	11
344	8
345	10
346	6
347	9
348	2
349	4
350	5
351	3
352	6
353	7
354	4
355	1
356	1
357	5
358	4
359	4
360	6
361	4
362	1
363	2
364	2
365	6
366	1
367	2
368	2
369	1
370	4
371	0
372	0
373	0
374	3
375	2
376	1
377	0
378	3
379	1
380	2
381	2
382	0
383	0
384	1
385	1
386	1
387	0
388	1
389	1
390	0
391	0
392	0
393	0
394	2
395	0
396	1
397	1
398	2
399	0
400	1
401	1
402	0
403	1
404	0
405	2
406	0
407	0
408	1
409	1
410	1
411	2
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	3
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	1
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	1
437	0
438	0
439	1
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	1
456	0
457	0
458	0
459	0
460	0
461	0
462	1
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	1
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	4
