n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	2
16	1
17	10
18	8
19	10
20	9
21	12
22	16
23	17
24	23
25	30
26	42
27	44
28	49
29	57
30	58
31	62
32	78
33	72
34	61
35	59
36	73
37	66
38	60
39	70
40	58
41	75
42	58
43	64
44	72
45	78
46	60
47	80
48	76
49	67
50	66
51	53
52	66
53	60
54	73
55	57
56	68
57	52
58	72
59	55
60	63
61	45
62	55
63	66
64	52
65	67
66	47
67	50
68	57
69	61
70	58
71	52
72	47
73	53
74	46
75	57
76	51
77	47
78	32
79	36
80	32
81	42
82	42
83	38
84	40
85	47
86	32
87	38
88	36
89	43
90	32
91	38
92	32
93	27
94	34
95	30
96	34
97	29
98	27
99	24
100	32
101	37
102	33
103	35
104	37
105	46
106	32
107	43
108	58
109	65
110	40
111	48
112	58
113	53
114	79
115	69
116	55
117	74
118	71
119	70
120	84
121	78
122	114
123	101
124	137
125	146
126	213
127	258
128	338
129	374
130	551
131	763
132	962
133	1375
134	1645
135	1919
136	2117
137	2030
138	1976
139	1828
140	1626
141	1351
142	1147
143	968
144	753
145	652
146	525
147	415
148	436
149	364
150	347
151	328
152	317
153	242
154	218
155	173
156	143
157	100
158	87
159	63
160	51
161	30
162	33
163	22
164	12
165	12
166	16
167	7
168	6
169	4
170	8
171	4
172	10
173	1
174	4
175	4
176	2
177	9
178	8
179	2
180	6
181	2
182	1
183	5
184	2
185	0
186	3
187	3
188	2
189	3
190	1
191	0
192	4
193	2
194	8
195	5
196	6
197	3
198	9
199	7
200	5
201	5
202	10
203	9
204	3
205	7
206	3
207	3
208	5
209	6
210	8
211	2
212	7
213	5
214	4
215	4
216	2
217	3
218	3
219	5
220	3
221	4
222	0
223	2
224	1
225	3
226	2
227	1
228	3
229	2
230	1
231	1
232	1
233	1
234	2
235	1
236	0
237	3
238	2
239	1
240	2
241	3
242	2
243	1
244	5
245	1
246	2
247	2
248	3
249	3
250	3
251	0
252	0
253	2
254	2
255	0
256	4
257	3
258	0
259	3
260	0
261	0
262	2
263	0
264	0
265	0
266	2
267	1
268	1
269	1
270	0
271	1
272	0
273	2
274	0
275	2
276	2
277	2
278	0
279	0
280	0
281	1
282	1
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	1
294	0
295	0
296	0
297	0
298	1
299	0
300	0
301	1
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	1
312	0
313	0
314	0
315	0
316	1
317	0
318	1
319	0
320	0
321	0
322	0
323	0
324	0
325	1
326	0
327	0
328	1
329	0
330	0
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	1
348	0
349	0
350	0
351	0
352	0
353	1
354	1
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	1
381	0
382	0
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	1
420	1
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	1
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	1
460	0
461	0
462	0
463	1
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	1
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	1
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
