n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	1
17	2
18	1
19	4
20	5
21	2
22	8
23	6
24	15
25	11
26	14
27	17
28	17
29	26
30	7
31	19
32	38
33	47
34	43
35	42
36	48
37	40
38	51
39	27
40	37
41	29
42	32
43	36
44	23
45	21
46	30
47	28
48	23
49	18
50	29
51	26
52	21
53	18
54	22
55	22
56	17
57	14
58	20
59	12
60	19
61	15
62	18
63	19
64	13
65	14
66	19
67	14
68	17
69	18
70	8
71	8
72	14
73	13
74	15
75	8
76	14
77	12
78	6
79	3
80	6
81	9
82	15
83	8
84	8
85	11
86	8
87	13
88	10
89	8
90	8
91	8
92	11
93	10
94	10
95	5
96	13
97	11
98	8
99	14
100	13
101	12
102	16
103	22
104	16
105	33
106	17
107	28
108	19
109	19
110	16
111	22
112	15
113	24
114	13
115	25
116	23
117	23
118	25
119	26
120	25
121	26
122	28
123	43
124	29
125	50
126	41
127	61
128	56
129	49
130	41
131	41
132	52
133	32
134	52
135	56
136	62
137	71
138	79
139	88
140	105
141	99
142	88
143	82
144	81
145	68
146	59
147	37
148	43
149	42
150	28
151	36
152	23
153	21
154	20
155	29
156	25
157	17
158	11
159	19
160	13
161	12
162	4
163	15
164	18
165	5
166	8
167	9
168	11
169	5
170	8
171	12
172	5
173	13
174	14
175	17
176	19
177	29
178	26
179	18
180	24
181	20
182	22
183	15
184	20
185	12
186	8
187	13
188	7
189	7
190	10
191	7
192	5
193	11
194	10
195	6
196	11
197	12
198	5
199	7
200	14
201	5
202	5
203	10
204	8
205	15
206	15
207	10
208	12
209	13
210	12
211	10
212	8
213	10
214	15
215	12
216	6
217	15
218	12
219	15
220	13
221	17
222	14
223	14
224	16
225	17
226	20
227	24
228	30
229	34
230	43
231	71
232	122
233	192
234	230
235	331
236	416
237	535
238	553
239	575
240	536
241	483
242	406
243	351
244	275
245	204
246	163
247	113
248	77
249	50
250	39
251	20
252	24
253	17
254	15
255	11
256	9
257	15
258	13
259	16
260	35
261	30
262	56
263	61
264	50
265	67
266	90
267	76
268	80
269	61
270	48
271	52
272	38
273	26
274	22
275	15
276	9
277	7
278	8
279	4
280	1
281	1
282	2
283	2
284	1
285	0
286	1
287	0
288	1
289	1
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	1
299	2
300	0
301	0
302	0
303	1
304	0
305	1
306	0
307	0
308	0
309	1
310	0
311	0
312	1
313	1
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	1
325	0
326	0
327	1
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	1
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	2
352	0
353	0
354	0
355	1
356	0
357	0
358	1
359	0
360	0
361	0
362	0
363	0
364	0
365	1
366	0
367	1
368	1
369	1
370	0
371	0
372	0
373	0
374	2
375	0
376	0
377	0
378	0
379	1
380	1
381	0
382	0
383	0
384	1
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	1
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
